ID,Achse,Position,Rel_Theorie_X,Rel_Theorie_Y,Rel_Theorie_Z,Rel_ExacTrac_X,Rel_ExacTrac_Y,Rel_ExacTrac_Z,Diskrepanz_dX,Diskrepanz_dY,Diskrepanz_dZ
1,Longitudinal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Longitudinal,-10,0.0,-10.0,0.0,0.1,-10.0,0.0,-0.1,0.0,0.0
3,Longitudinal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Vertikal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Vertikal,10,0.0,-14.49,0.4,0.5,-14.0,-0.4,-0.5,-0.49,0.8
6,Vertikal,-10,0.0,14.84,0.39,-0.6,14.4,-0.5,0.6,0.44,0.89
7,Vertikal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Rotation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Rotation,0,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,0.0,0.0
10,Rotation,5,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.1,0.0
11,Rotation,-5,0.0,0.0,0.0,0.1,0.1,0.0,-0.1,-0.1,0.0
12,Rotation,0,0.0,0.0,0.0,0.1,0.0,0.0,-0.1,0.0,0.0
13,Rotation,30,0.0,0.0,0.0,-0.3,-0.4,0.0,0.3,0.4,0.0
14,Rotation,-30,0.0,0.0,0.0,0.5,0.2,0.0,-0.5,-0.2,0.0
15,Rotation,45,0.0,0.0,0.0,-0.4,-0.8,0.0,0.4,0.8,0.0
16,Rotation,90,0.0,0.0,0.0,-0.2,-1.5,0.0,0.2,1.5,0.0
17,Rotation,60,0.0,0.0,0.0,-0.4,-1.1,0.0,0.4,1.1,0.0
