Messpunkt_ID,Achse,Position,Rel_Theorie_X (mm),±_Theorie_X,Rel_Theorie_Y (mm),±_Theorie_Y,Rel_Theorie_Z (mm),±_Theorie_Z,Rel_ExacTrac_X (mm),±_ExacTrac_X,Rel_ExacTrac_Y (mm),±_ExacTrac_Y,Rel_ExacTrac_Z (mm),±_ExacTrac_Z,Diskrepanz_dX (mm),±_Delta_X,Diskrepanz_dY (mm),±_Delta_Y,Diskrepanz_dZ (mm),±_Delta_Z
1,Longitudinal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Longitudinal,-10,0.0,0.087,-10.0,0.005,0.0,0.0,0.1,0.071,-10.0,0.071,0.0,0.071,-0.1,0.112,0.0,0.071,0.0,0.071
3,Longitudinal,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.071,0.0,0.071,0.0,0.071,0.0,0.071,0.0,0.071,0.0,0.071
4,Vertikal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Vertikal,10,0.0,0.126,-14.49,0.03,0.401,0.001,0.5,0.071,-14.0,0.071,-0.4,0.071,-0.5,0.145,-0.49,0.077,0.801,0.071
6,Vertikal,-10,0.0,0.13,14.84,0.029,0.391,0.001,-0.6,0.071,14.4,0.071,-0.5,0.071,0.6,0.148,0.44,0.077,0.891,0.071
7,Vertikal,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.071,0.0,0.071,0.0,0.071,0.0,0.071,0.0,0.071,0.0,0.071
8,Rotation,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Rotation,0,0.0,0.0,0.0,0.005,0.0,0.0,0.1,0.071,0.0,0.071,0.0,0.071,-0.1,0.071,0.0,0.071,0.0,0.071
10,Rotation,5,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.071,-0.1,0.071,0.0,0.071,0.0,0.071,0.1,0.071,0.0,0.071
11,Rotation,-5,0.0,0.0,0.0,0.005,0.0,0.0,0.1,0.071,0.1,0.071,0.0,0.071,-0.1,0.071,-0.1,0.071,0.0,0.071
12,Rotation,0,0.0,0.0,0.0,0.005,0.0,0.0,0.1,0.071,0.0,0.071,0.0,0.071,-0.1,0.071,0.0,0.071,0.0,0.071
13,Rotation,30,0.0,0.0,0.0,0.005,0.0,0.0,-0.3,0.071,-0.4,0.071,0.0,0.071,0.3,0.071,0.4,0.071,0.0,0.071
14,Rotation,-30,0.0,0.0,0.0,0.005,0.0,0.0,0.5,0.071,0.2,0.071,0.0,0.071,-0.5,0.071,-0.2,0.071,0.0,0.071
15,Rotation,45,0.0,0.0,0.0,0.005,0.0,0.0,-0.4,0.071,-0.8,0.071,0.0,0.071,0.4,0.071,0.8,0.071,0.0,0.071
16,Rotation,90,0.0,0.0,0.0,0.005,0.0,0.0,-0.2,0.071,-1.5,0.071,0.0,0.071,0.2,0.071,1.5,0.071,0.0,0.071
17,Rotation,60,0.0,0.0,0.0,0.005,0.0,0.0,-0.4,0.071,-1.1,0.071,0.0,0.071,0.4,0.071,1.1,0.071,0.0,0.071
