Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0
0.033;0.0;-0.0;-0.1;-0.0;0.0;-0.0
0.139;0.0;-0.0;-0.1;-0.0;0.0;-0.0
0.264;0.0;-0.1;-0.1;-0.1;0.0;-0.0
0.36;0.0;-0.2;-0.1;-0.1;0.0;0.0
0.493;0.0;-0.1;-0.1;-0.1;0.0;-0.0
0.559;0.0;-0.1;-0.1;-0.1;0.0;0.0
0.662;0.0;0.0;0.0;-0.1;0.0;0.0
0.793;0.0;0.0;-0.0;-0.0;0.0;-0.0
0.891;0.0;-0.0;0.0;-0.1;0.0;0.0
0.959;0.0;-0.0;0.0;-0.1;0.0;0.0
1.025;0.0;0.0;0.0;-0.0;0.0;0.0
1.094;0.0;0.0;0.0;-0.0;0.0;0.0
1.16;0.0;-0.0;-0.0;-0.0;0.0;-0.0
1.225;0.0;-0.1;-0.1;-0.0;0.0;0.0
1.323;0.0;-0.1;-0.1;-0.0;0.0;0.0
1.356;0.0;-0.1;-0.1;-0.0;0.0;0.0
1.423;0.0;-0.1;-0.1;-0.0;0.0;0.0
1.488;0.0;-0.1;-0.1;-0.0;0.0;0.0
1.557;0.0;-0.1;-0.1;-0.0;0.0;0.0
1.621;0.0;-0.1;-0.1;-0.0;0.0;0.0
1.69;0.1;-0.1;-0.1;-0.0;0.0;-0.0
1.787;-0.0;-0.0;-0.0;-0.0;-0.0;0.0
1.853;0.0;-0.0;0.0;-0.0;-0.0;0.0
1.92;0.0;-0.1;-0.0;-0.1;-0.0;0.0
2.052;0.0;-0.2;-0.1;-0.0;-0.0;0.0
2.119;0.0;-0.1;-0.1;-0.0;0.0;0.0
2.222;0.0;-0.1;-0.0;-0.1;0.0;0.0
2.285;0.0;-0.1;-0.0;-0.1;0.0;0.0
2.355;0.0;-0.1;-0.0;-0.1;0.0;0.0
2.417;0.0;-0.1;-0.0;-0.1;0.0;0.0
2.485;0.0;-0.1;-0.0;-0.0;0.0;-0.0
2.587;0.0;-0.1;-0.0;-0.0;0.0;-0.0
2.684;0.0;-0.1;-0.1;-0.1;0.0;-0.0
2.75;0.0;-0.1;-0.1;-0.1;0.0;-0.0
2.816;0.0;-0.1;-0.1;-0.1;0.0;-0.0
2.915;0.1;-0.2;-0.1;-0.0;0.0;-0.0
3.017;0.0;-0.1;-0.1;-0.1;-0.0;0.0
3.114;0.0;-0.1;-0.0;-0.1;0.0;0.0
3.215;0.0;-0.1;-0.1;-0.0;0.0;-0.0
3.314;0.0;-0.1;-0.1;-0.0;0.0;-0.0
3.379;0.0;-0.1;-0.1;-0.1;0.0;-0.0
3.446;0.0;-0.2;-0.1;-0.1;0.0;-0.0
3.549;0.0;-0.2;-0.1;-0.1;0.0;-0.0
3.616;0.0;-0.2;-0.1;-0.0;0.0;0.0
3.684;0.0;-0.2;-0.1;-0.0;0.0;0.0
3.748;0.0;-0.2;-0.1;-0.0;0.0;-0.0
3.815;0.0;-0.1;-0.1;-0.0;0.0;0.0
3.882;0.0;-0.1;-0.1;-0.0;0.0;0.0
3.98;0.0;-0.1;-0.1;-0.0;0.0;0.0
4.015;0.0;-0.1;-0.1;-0.0;0.0;-0.0
4.081;0.0;-0.1;-0.1;-0.0;0.1;-0.0
4.147;0.0;-0.1;-0.1;-0.0;0.0;-0.0
4.213;0.0;-0.1;-0.1;-0.0;0.0;-0.0
4.309;0.0;-0.1;-0.1;-0.0;0.0;-0.0
4.474;0.0;-0.2;-0.1;-0.0;0.0;-0.0
4.543;0.0;-0.2;-0.1;-0.0;0.0;-0.0
4.611;0.0;-0.2;-0.1;-0.0;0.0;-0.0
4.675;0.0;-0.2;-0.2;-0.0;0.0;-0.0
4.739;0.0;-0.2;-0.1;-0.0;0.0;-0.0
4.809;0.0;-0.2;-0.1;-0.0;0.0;-0.0
4.872;0.0;-0.1;-0.1;-0.0;0.0;-0.0
4.941;0.0;-0.1;-0.1;-0.0;0.0;-0.0
5.007;0.0;-0.1;-0.1;-0.0;0.0;-0.0
5.071;0.0;-0.2;-0.2;-0.0;0.0;0.0
5.139;0.0;-0.2;-0.1;-0.1;0.0;0.0
5.207;0.0;-0.2;-0.1;-0.1;0.0;0.0
5.306;0.0;-0.2;-0.1;-0.1;0.0;0.0
5.369;0.0;-0.2;-0.1;-0.1;0.0;0.0
5.403;0.0;-0.2;-0.1;-0.1;0.0;0.0
5.47;0.0;-0.1;-0.1;-0.0;0.1;-0.0
5.538;0.0;-0.1;-0.1;-0.1;0.0;-0.0
5.636;0.0;-0.1;-0.1;-0.1;0.0;-0.0
5.669;0.0;-0.1;-0.1;-0.1;0.0;0.0
5.738;0.0;-0.1;-0.1;-0.1;0.0;0.0
5.801;0.0;-0.1;-0.1;-0.1;0.0;0.0
5.867;0.0;-0.1;-0.1;-0.0;0.0;0.0
5.933;0.0;-0.1;-0.1;-0.1;0.0;0.0
6.033;0.0;-0.1;-0.1;-0.1;0.0;0.0
6.069;0.0;-0.1;-0.1;-0.1;0.0;0.0
6.139;0.0;-0.1;-0.1;-0.1;0.0;0.0
6.199;0.1;-0.1;-0.1;-0.1;0.0;-0.0
6.298;0.1;-0.1;-0.1;-0.1;0.0;-0.0
6.335;0.0;-0.1;-0.1;-0.1;0.0;0.0
6.431;0.0;-0.1;-0.1;-0.1;0.0;0.0
6.498;0.0;-0.1;-0.1;-0.1;0.0;0.0
6.564;0.0;-0.0;-0.0;-0.1;0.0;0.0
6.63;0.0;-0.0;-0.0;-0.1;0.0;0.0
6.698;0.0;-0.0;-0.0;-0.1;-0.0;0.0
6.763;0.0;-0.0;-0.0;-0.1;-0.0;0.0
6.831;0.0;-0.0;-0.0;-0.1;-0.0;0.0
6.895;0.0;-0.0;-0.0;-0.1;-0.0;0.0
6.965;0.0;-0.0;-0.0;-0.1;-0.0;0.0
6.996;0.0;0.0;-0.0;-0.1;-0.0;0.0
7.098;0.0;0.0;-0.0;-0.1;0.0;0.0
7.163;0.0;-0.0;-0.0;-0.0;0.0;-0.0
7.263;0.0;-0.1;-0.1;-0.0;0.0;-0.0
7.329;0.0;-0.2;-0.1;-0.0;0.0;-0.0
7.427;-0.0;-0.1;-0.1;-0.0;0.0;0.0
7.497;-0.0;-0.1;-0.1;-0.0;0.0;0.0
7.56;-0.0;-0.1;-0.1;-0.0;0.0;0.0
7.626;-0.0;-0.1;-0.1;-0.0;0.0;0.0
7.659;0.0;-0.1;-0.1;-0.0;0.0;-0.0
7.725;0.0;-0.1;-0.1;-0.0;0.0;-0.0
7.794;0.0;-0.1;-0.1;-0.0;0.0;-0.0
7.86;0.0;-0.1;-0.1;-0.0;0.0;0.0
7.924;0.0;-0.1;-0.1;-0.0;0.0;0.0
7.993;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.061;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.123;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.194;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.261;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.326;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.391;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.457;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.524;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.588;0.0;-0.1;-0.1;-0.0;0.0;0.0
8.656;0.0;-0.0;-0.0;-0.0;0.0;0.0
8.721;0.0;-0.1;-0.1;-0.1;-0.0;0.0
8.821;0.0;-0.1;-0.1;-0.1;-0.0;0.0
8.886;0.0;-0.1;-0.0;-0.1;-0.0;0.0
8.957;0.0;-0.1;-0.0;-0.1;-0.0;0.0
9.019;0.0;-0.2;-0.1;-0.0;-0.0;0.1
9.153;0.0;-0.1;-0.1;-0.0;0.0;0.0
9.218;0.1;-0.1;-0.0;-0.0;0.1;-0.0
9.318;0.0;-0.1;-0.0;-0.0;0.0;-0.0
9.386;-0.0;-0.2;-0.2;-0.0;-0.0;-0.0
9.486;0.0;-0.2;-0.2;-0.0;0.0;0.0
9.552;0.0;-0.1;-0.0;0.0;-0.0;0.0
9.65;0.0;-0.1;-0.0;0.0;-0.0;0.0
9.716;0.0;-0.1;-0.0;0.0;-0.0;0.0
9.786;0.0;-0.1;-0.0;-0.0;-0.0;0.0
9.849;0.0;-0.1;-0.0;-0.0;-0.0;0.0
9.917;0.0;-0.1;-0.0;-0.0;-0.0;0.0
9.982;0.0;-0.1;-0.1;-0.0;0.0;-0.0
10.051;0.0;-0.1;-0.1;-0.0;-0.0;0.0
10.149;0.0;-0.1;-0.1;-0.0;0.0;0.0
10.217;0.0;-0.1;-0.1;-0.0;0.0;0.0
10.28;0.0;-0.1;-0.1;-0.0;0.0;0.0
10.348;0.1;-0.1;-0.1;-0.0;0.0;-0.0
10.45;0.0;-0.1;-0.1;-0.0;0.0;-0.0
10.513;0.0;-0.1;-0.1;-0.0;0.0;-0.0
10.582;0.0;-0.1;-0.1;-0.0;0.0;-0.0
10.647;0.0;-0.1;-0.1;-0.0;0.0;-0.0
10.679;0.0;-0.2;-0.1;-0.0;0.0;0.0
10.779;0.0;-0.2;-0.1;-0.0;0.0;0.0
10.843;0.0;-0.2;-0.1;-0.0;0.0;0.0
10.914;0.0;-0.1;-0.1;-0.1;0.0;0.0
10.977;0.0;-0.1;-0.1;-0.1;0.0;0.0
11.046;0.0;-0.1;-0.1;-0.1;0.0;0.0
11.114;0.0;-0.1;-0.1;-0.1;0.0;0.0
11.181;0.0;-0.2;-0.2;-0.0;-0.0;0.1
11.275;0.0;-0.2;-0.2;0.0;-0.0;0.0
11.342;0.1;-0.1;-0.1;-0.1;-0.0;-0.0
11.442;0.1;-0.1;-0.1;-0.1;-0.0;-0.0
11.477;0.0;-0.1;-0.1;-0.1;0.0;-0.0
11.578;-0.0;-0.1;-0.2;-0.0;-0.0;0.0
11.676;-0.0;-0.2;-0.2;-0.0;-0.0;0.0
11.739;0.0;-0.2;-0.2;-0.0;0.0;0.0
11.839;0.0;-0.2;-0.2;-0.0;0.0;0.0
11.906;0.0;-0.2;-0.1;0.0;0.1;-0.0
12.005;0.0;-0.2;-0.1;-0.0;0.1;-0.1
12.107;0.0;-0.2;-0.1;-0.0;0.0;0.0
12.203;0.1;-0.2;-0.1;-0.1;0.1;-0.0
12.274;0.1;-0.2;-0.1;-0.1;0.1;-0.0
12.37;0.1;-0.2;-0.1;-0.1;0.1;-0.0
12.44;-0.0;-0.2;-0.1;-0.0;-0.0;0.0
12.535;0.0;-0.1;-0.1;-0.0;0.0;0.0
12.604;0.0;-0.1;-0.1;-0.0;0.0;0.0
12.669;0.0;-0.1;-0.1;-0.0;0.0;0.0
12.734;0.0;-0.1;-0.0;-0.0;0.0;0.0
12.801;0.0;-0.1;-0.1;-0.0;0.0;-0.0
12.901;0.0;-0.1;-0.1;-0.0;0.0;0.0
12.969;0.0;-0.2;-0.1;-0.0;-0.0;0.1
13.067;0.0;-0.2;-0.1;-0.0;-0.0;0.1
