Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
0.002;-0.0;0.0;0.0;0.0;-0.0;0.0
0.105;-0.0;0.0;0.0;0.0;-0.0;0.0
0.21;-0.0;0.0;0.0;0.0;-0.0;0.0
0.312;-0.0;0.0;0.0;0.0;-0.0;0.0
0.418;-0.0;0.0;0.0;0.0;-0.0;0.0
0.521;-0.0;0.0;0.0;0.0;-0.0;0.0
0.622;-0.0;0.0;0.0;0.0;-0.0;0.0
0.725;-0.0;0.0;0.0;0.0;-0.0;0.0
0.832;-0.0;0.0;0.0;0.0;-0.0;0.0
0.933;-0.0;0.0;0.0;0.0;-0.0;0.0
1.047;-0.0;0.0;0.0;0.0;-0.0;0.0
1.155;-0.0;0.0;0.0;0.0;-0.0;0.0
1.257;-0.0;0.0;0.0;0.0;-0.0;0.0
1.375;-0.0;0.0;0.0;0.0;-0.0;0.0
1.476;-0.0;0.0;0.0;0.0;-0.0;0.0
1.576;-0.0;0.0;0.0;0.0;-0.0;0.0
1.679;-0.0;0.0;0.0;0.0;-0.0;0.0
1.788;-0.0;0.0;0.0;0.0;-0.0;0.0
1.888;-0.0;0.0;0.0;0.0;-0.0;0.0
1.989;-0.0;0.0;0.0;0.0;-0.0;0.0
2.089;-0.0;0.0;0.0;0.0;-0.0;0.0
2.195;-0.0;0.0;0.0;0.0;-0.0;0.0
2.297;-0.0;0.0;0.0;0.0;-0.0;0.0
2.402;-0.0;0.0;0.0;0.0;-0.0;0.0
2.505;-0.0;0.0;0.0;0.0;-0.0;0.0
2.61;-0.0;0.0;0.0;0.0;-0.0;0.0
2.715;-0.0;0.0;0.0;0.0;-0.0;0.0
2.818;-0.0;0.0;0.0;0.0;-0.0;0.0
2.922;-0.0;0.0;0.0;0.0;-0.0;0.0
3.03;-0.0;0.0;0.0;0.0;-0.0;0.0
3.148;-0.0;0.0;0.0;0.0;-0.0;0.0
3.251;-0.0;0.0;0.0;0.0;-0.0;0.0
3.367;-0.0;0.0;0.0;0.0;-0.0;0.0
3.475;-0.0;0.0;0.0;0.0;-0.0;0.0
3.587;-0.0;0.0;0.0;0.0;-0.0;0.0
3.7;-0.0;0.0;0.0;0.0;-0.0;0.0
3.805;-0.0;0.0;0.0;0.0;-0.0;0.0
3.918;-0.0;0.0;0.0;0.0;-0.0;0.0
4.02;-0.0;0.0;0.0;0.0;-0.0;0.0
4.144;-0.0;0.0;0.0;0.0;-0.0;0.0
4.244;-0.0;0.0;0.0;0.0;-0.0;0.0
4.347;-0.0;0.0;0.0;0.0;-0.0;0.0
4.458;-0.0;0.0;0.0;0.0;-0.0;0.0
4.574;-0.0;0.0;0.0;0.0;-0.0;0.0
4.68;-0.0;0.0;0.0;0.0;-0.0;0.0
4.793;-0.0;0.0;0.0;0.0;-0.0;0.0
4.905;-0.0;0.0;0.0;0.0;-0.0;0.0
5.016;-0.0;0.0;0.0;0.0;-0.0;0.0
5.124;-0.0;0.0;0.0;0.0;-0.0;0.0
5.248;-0.0;0.0;0.0;0.0;-0.0;0.0
5.365;-0.0;0.0;0.0;0.0;-0.0;0.0
5.473;-0.0;0.0;0.0;0.0;-0.0;0.0
5.586;-0.0;0.0;0.0;0.0;-0.0;0.0
5.693;-0.0;0.0;0.0;0.0;-0.0;0.0
5.808;-0.0;0.0;0.0;0.0;-0.0;0.0
5.916;-0.0;0.0;0.0;0.0;-0.0;0.0
6.026;-0.0;0.0;0.0;0.0;-0.0;0.0
6.137;-0.0;0.0;0.0;0.0;-0.0;0.0
6.246;-0.0;0.0;0.0;0.0;-0.0;0.0
6.36;-0.0;0.0;0.0;0.0;-0.0;0.0
6.469;-0.0;0.0;0.0;0.0;-0.0;0.0
6.584;-0.0;0.0;0.0;0.0;-0.0;0.0
6.687;0.0;-0.21125;0.0;0.0;-0.0;0.0
6.788;0.0;-0.725;0.0;0.0;-0.0;0.0
6.9;0.0;-1.23;0.0;0.0;-0.0;0.0
7.004;0.0;-1.74;0.0;0.0;-0.0;0.0
7.12;0.0;-2.25125;0.0;0.0;-0.0;0.0
7.231;0.0;-2.75625;0.0;0.0;-0.0;0.0
7.34;0.0;-3.26625;0.0;0.0;-0.0;0.0
7.454;0.0;-4.02875;0.0;0.0;-0.0;0.0
7.561;0.0;-4.53375;0.0;0.0;-0.0;0.0
7.661;0.0;-4.9775;0.0;0.0;-0.0;0.0
7.769;0.0;-5.0;0.0;0.0;-0.0;0.0
7.878;0.0;-5.0;0.0;0.0;-0.0;0.0
7.978;0.0;-5.0;0.0;0.0;-0.0;0.0
8.078;0.0;-5.0;0.0;0.0;-0.0;0.0
8.179;0.0;-5.0;0.0;0.0;-0.0;0.0
8.28;0.0;-5.0;0.0;0.0;-0.0;0.0
8.38;0.0;-5.0;0.0;0.0;-0.0;0.0
8.481;0.0;-5.0;0.0;0.0;-0.0;0.0
8.582;0.0;-5.0;0.0;0.0;-0.0;0.0
8.683;0.0;-5.0;0.0;0.0;-0.0;0.0
8.783;0.0;-5.0;0.0;0.0;-0.0;0.0
8.884;0.0;-5.0;0.0;0.0;-0.0;0.0
8.994;0.0;-5.0;0.0;0.0;-0.0;0.0
9.1;0.0;-5.0;0.0;0.0;-0.0;0.0
9.2;0.0;-5.0;0.0;0.0;-0.0;0.0
9.304;0.0;-5.0;0.0;0.0;-0.0;0.0
9.404;0.0;-5.0;0.0;0.0;-0.0;0.0
9.505;0.0;-5.0;0.0;0.0;-0.0;0.0
9.612;0.0;-5.0;0.0;0.0;-0.0;0.0
9.713;0.0;-5.0;0.0;0.0;-0.0;0.0
9.818;0.0;-4.89;0.0;0.0;-0.0;0.0
9.919;0.0;-4.3825;0.0;0.0;-0.0;0.0
10.021;0.0;-3.87375;0.0;0.0;-0.0;0.0
10.121;0.0;-3.37125;0.0;0.0;-0.0;0.0
10.233;0.0;-2.86125;0.0;0.0;-0.0;0.0
10.334;0.0;-2.09875;0.0;0.0;-0.0;0.0
10.451;0.0;-1.85125;0.0;0.0;-0.0;0.0
10.552;0.0;-1.09;0.0;0.0;-0.0;0.0
10.669;0.0;-0.5825;0.0;0.0;-0.0;0.0
10.77;0.0;-0.08875;0.0;0.0;-0.0;0.0
10.875;-0.0;0.0;0.0;0.0;-0.0;0.0
10.976;-0.0;0.0;0.0;0.0;-0.0;0.0
11.077;-0.0;0.0;0.0;0.0;-0.0;0.0
11.185;-0.0;0.0;0.0;0.0;-0.0;0.0
11.295;-0.0;0.0;0.0;0.0;-0.0;0.0
11.398;-0.0;0.0;0.0;0.0;-0.0;0.0
11.499;-0.0;0.0;0.0;0.0;-0.0;0.0
11.601;-0.0;0.0;0.0;0.0;-0.0;0.0
11.702;-0.0;0.0;0.0;0.0;-0.0;0.0
11.807;-0.0;0.0;0.0;0.0;-0.0;0.0
11.908;-0.0;0.0;0.0;0.0;-0.0;0.0
12.017;-0.0;0.0;0.0;0.0;-0.0;0.0
12.128;-0.0;0.0;0.0;0.0;-0.0;0.0
12.238;-0.0;0.0;0.0;0.0;-0.0;0.0
12.347;-0.0;0.0;0.0;0.0;-0.0;0.0
12.456;-0.0;0.0;0.0;0.0;-0.0;0.0
12.558;-0.0;0.0;0.0;0.0;-0.0;0.0
12.677;-0.0;0.0;0.0;0.0;-0.0;0.0
12.786;-0.0;0.0;0.0;0.0;-0.0;0.0
12.906;-0.0;0.0;0.0;0.0;-0.0;0.0
13.008;0.0;-0.35625;0.0;0.0;-0.0;0.0
13.12;0.0;-0.8675;0.0;0.0;-0.0;0.0
13.222;0.0;-1.3775;0.0;0.0;-0.0;0.0
13.345;0.0;-1.8825;0.0;0.0;-0.0;0.0
13.448;0.0;-2.65;0.0;0.0;-0.0;0.0
13.556;0.0;-2.90875;0.0;0.0;-0.0;0.0
13.669;0.0;-3.6775;0.0;0.0;-0.0;0.0
13.793;0.0;-4.19375;0.0;0.0;-0.0;0.0
13.894;0.0;-4.71;0.0;0.0;-0.0;0.0
13.996;0.0;-5.48375;0.0;0.0;-0.0;0.0
14.098;0.0;-5.74125;0.0;0.0;-0.0;0.0
14.2;0.0;-6.5075;0.0;0.0;-0.0;0.0
14.301;0.0;-7.0225;0.0;0.0;-0.0;0.0
14.403;0.0;-7.53625;0.0;0.0;-0.0;0.0
14.514;0.0;-7.78625;0.0;0.0;-0.0;0.0
14.617;0.0;-8.55125;0.0;0.0;-0.0;0.0
14.732;0.0;-8.80625;0.0;0.0;-0.0;0.0
14.836;0.0;-9.565;0.0;0.0;-0.0;0.0
14.938;0.0;-9.9875;0.0;0.0;-0.0;0.0
15.046;0.0;-10.0;0.0;0.0;-0.0;0.0
15.158;0.0;-10.0;0.0;0.0;-0.0;0.0
15.269;0.0;-10.0;0.0;0.0;-0.0;0.0
15.39;0.0;-10.0;0.0;0.0;-0.0;0.0
15.493;0.0;-10.0;0.0;0.0;-0.0;0.0
15.611;0.0;-10.0;0.0;0.0;-0.0;0.0
15.713;0.0;-10.0;0.0;0.0;-0.0;0.0
15.829;0.0;-10.0;0.0;0.0;-0.0;0.0
15.934;0.0;-10.0;0.0;0.0;-0.0;0.0
16.048;0.0;-10.0;0.0;0.0;-0.0;0.0
16.158;0.0;-10.0;0.0;0.0;-0.0;0.0
16.267;0.0;-10.0;0.0;0.0;-0.0;0.0
16.373;0.0;-10.0;0.0;0.0;-0.0;0.0
16.476;0.0;-10.0;0.0;0.0;-0.0;0.0
16.58;0.0;-10.0;0.0;0.0;-0.0;0.0
16.704;0.0;-10.0;0.0;0.0;-0.0;0.0
16.813;0.0;-10.0;0.0;0.0;-0.0;0.0
16.928;0.0;-10.0;0.0;0.0;-0.0;0.0
17.039;0.0;-10.0;0.0;0.0;-0.0;0.0
17.141;0.0;-10.0;0.0;0.0;-0.0;0.0
17.251;0.0;-9.88;0.0;0.0;-0.0;0.0
17.371;0.0;-9.37;0.0;0.0;-0.0;0.0
17.481;0.0;-8.8675;0.0;0.0;-0.0;0.0
17.594;0.0;-8.35875;0.0;0.0;-0.0;0.0
17.698;0.0;-7.595;0.0;0.0;-0.0;0.0
17.8;0.0;-7.0825;0.0;0.0;-0.0;0.0
17.908;0.0;-6.5675;0.0;0.0;-0.0;0.0
18.021;0.0;-6.05875;0.0;0.0;-0.0;0.0
18.122;0.0;-5.28625;0.0;0.0;-0.0;0.0
18.223;0.0;-5.02875;0.0;0.0;-0.0;0.0
18.338;0.0;-4.52125;0.0;0.0;-0.0;0.0
18.453;0.0;-3.7525;0.0;0.0;-0.0;0.0
18.561;0.0;-3.245;0.0;0.0;-0.0;0.0
18.673;0.0;-2.73125;0.0;0.0;-0.0;0.0
18.785;0.0;-2.21875;0.0;0.0;-0.0;0.0
18.895;0.0;-1.71125;0.0;0.0;-0.0;0.0
19.003;0.0;-0.94125;0.0;0.0;-0.0;0.0
19.117;0.0;-0.4325;0.0;0.0;-0.0;0.0
19.228;0.0;0.08125;-0.0;0.0;-0.0;0.0
19.337;0.0;0.5925;-0.0;0.0;-0.0;0.0
19.442;0.0;1.09875;-0.0;0.0;-0.0;0.0
19.545;0.0;1.865;-0.0;0.0;-0.0;0.0
19.663;0.0;2.3775;-0.0;0.0;-0.0;0.0
19.78;0.0;2.88375;-0.0;0.0;-0.0;0.0
19.892;0.0;3.395;-0.0;0.0;-0.0;0.0
20.003;0.0;4.1575;-0.0;0.0;-0.0;0.0
20.115;0.0;4.66875;-0.0;0.0;-0.0;0.0
20.22;0.0;5.18125;-0.0;0.0;-0.0;0.0
20.32;0.0;5.6875;-0.0;0.0;-0.0;0.0
20.43;0.0;6.19875;-0.0;0.0;-0.0;0.0
20.542;0.0;6.71125;-0.0;0.0;-0.0;0.0
20.65;0.0;7.2225;-0.0;0.0;-0.0;0.0
20.757;0.0;7.9875;-0.0;0.0;-0.0;0.0
20.859;0.0;8.49;-0.0;0.0;-0.0;0.0
20.963;0.0;8.9975;-0.0;0.0;-0.0;0.0
21.096;0.0;9.76125;-0.0;0.0;-0.0;0.0
21.203;0.0;10.0;-0.0;0.0;-0.0;0.0
21.315;0.0;10.0;-0.0;0.0;-0.0;0.0
21.415;0.0;10.0;-0.0;0.0;-0.0;0.0
21.525;0.0;10.0;-0.0;0.0;-0.0;0.0
21.631;0.0;10.0;-0.0;0.0;-0.0;0.0
21.744;0.0;10.0;-0.0;0.0;-0.0;0.0
21.851;0.0;10.0;-0.0;0.0;-0.0;0.0
21.964;0.0;10.0;-0.0;0.0;-0.0;0.0
22.084;0.0;10.0;-0.0;0.0;-0.0;0.0
22.185;0.0;10.0;-0.0;0.0;-0.0;0.0
22.298;0.0;10.0;-0.0;0.0;-0.0;0.0
22.409;0.0;10.0;-0.0;0.0;-0.0;0.0
22.525;0.0;10.0;-0.0;0.0;-0.0;0.0
22.63;0.0;10.0;-0.0;0.0;-0.0;0.0
22.741;0.0;10.0;-0.0;0.0;-0.0;0.0
22.852;0.0;10.0;-0.0;0.0;-0.0;0.0
22.966;0.0;10.0;-0.0;0.0;-0.0;0.0
23.079;0.0;10.0;-0.0;0.0;-0.0;0.0
23.185;0.0;10.0;-0.0;0.0;-0.0;0.0
