Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
2.117;-0.0;0.0;0.0;0.0;-0.0;0.0
2.223;-0.0;0.0;0.0;0.0;-0.0;0.0
2.338;-0.0;0.0;0.0;0.0;-0.0;0.0
2.446;-0.0;0.0;0.0;0.0;-0.0;0.0
2.556;-0.0;0.0;0.0;0.0;-0.0;0.0
2.661;-0.0;0.0;0.0;0.0;-0.0;0.0
2.779;-0.0;0.0;0.0;0.0;-0.0;0.0
2.889;-0.0;0.0;0.0;0.0;-0.0;0.0
2.996;-0.0;0.0;0.0;0.0;-0.0;0.0
3.109;-0.0;0.0;0.0;0.0;-0.0;0.0
3.22;-0.0;0.0;0.0;0.0;-0.0;0.0
3.334;-0.0;0.0;0.0;0.0;-0.0;0.0
3.437;-0.0;0.0;0.0;0.0;-0.0;0.0
3.539;-0.0;0.0;0.0;0.0;-0.0;0.0
3.651;-0.0;0.0;0.0;0.0;-0.0;0.0
3.762;-0.0;0.0;0.0;0.0;-0.0;0.0
3.862;-0.0;0.0;0.0;0.0;-0.0;0.0
3.968;-0.0;0.0;0.0;0.0;-0.0;0.0
4.078;-0.0;0.0;0.0;0.0;-0.0;0.0
4.187;-0.0;0.0;0.0;0.0;-0.0;0.0
4.288;-0.0;0.0;0.0;0.0;-0.0;0.0
4.388;-0.0;0.0;0.0;0.0;-0.0;0.0
4.489;-0.0;0.0;0.0;0.0;-0.0;0.0
4.59;-0.0;0.0;0.0;0.0;-0.0;0.0
4.695;-0.0;0.0;0.0;0.0;-0.0;0.0
4.799;-0.0;0.0;0.0;0.0;-0.0;0.0
4.903;-0.0;0.0;0.0;0.0;-0.0;0.0
5.006;-0.0;0.0;0.0;0.0;-0.0;0.0
5.114;-0.0;0.0;0.0;0.0;-0.0;0.0
5.217;-0.0;0.0;0.0;0.0;-0.0;0.0
5.318;-0.0;0.0;0.0;0.0;-0.0;0.0
5.419;-0.0;0.0;0.0;0.0;-0.0;0.0
5.523;-0.0;0.0;0.0;0.0;-0.0;0.0
5.632;-0.0;0.0;0.0;0.0;-0.0;0.0
5.741;-0.0;0.0;0.0;0.0;-0.0;0.0
5.85;-0.0;0.0;0.0;0.0;-0.0;0.0
5.964;-0.0;0.0;0.0;0.0;-0.0;0.0
6.075;0.0;-0.04375;0.0;0.0;-0.0;0.0
6.184;0.0;-0.5125;0.0;0.0;-0.0;0.0
6.293;0.0;-1.02375;0.0;0.0;-0.0;0.0
6.393;0.0;-1.53375;0.0;0.0;-0.0;0.0
6.518;0.0;-2.295;0.0;0.0;-0.0;0.0
6.63;0.0;-2.805;0.0;0.0;-0.0;0.0
6.732;0.0;-3.315;0.0;0.0;-0.0;0.0
6.834;0.0;-3.81875;0.0;0.0;-0.0;0.0
6.939;0.0;-4.3275;0.0;0.0;-0.0;0.0
7.051;0.0;-4.9925;0.0;0.0;-0.0;0.0
7.153;0.0;-5.0;0.0;0.0;-0.0;0.0
7.254;0.0;-5.0;0.0;0.0;-0.0;0.0
7.355;0.0;-5.0;0.0;0.0;-0.0;0.0
7.462;0.0;-5.0;0.0;0.0;-0.0;0.0
7.563;0.0;-5.0;0.0;0.0;-0.0;0.0
7.665;0.0;-5.0;0.0;0.0;-0.0;0.0
7.766;0.0;-5.0;0.0;0.0;-0.0;0.0
7.903;0.0;-5.0;0.0;0.0;-0.0;0.0
8.004;0.0;-5.0;0.0;0.0;-0.0;0.0
8.108;0.0;-5.0;0.0;0.0;-0.0;0.0
8.208;0.0;-5.0;0.0;0.0;-0.0;0.0
8.316;0.0;-5.0;0.0;0.0;-0.0;0.0
8.427;0.0;-5.0;0.0;0.0;-0.0;0.0
8.537;0.0;-5.0;0.0;0.0;-0.0;0.0
8.637;0.0;-5.0;0.0;0.0;-0.0;0.0
8.742;0.0;-5.0;0.0;0.0;-0.0;0.0
8.842;0.0;-5.0;0.0;0.0;-0.0;0.0
8.944;0.0;-5.0;0.0;0.0;-0.0;0.0
9.045;0.0;-5.0;0.0;0.0;-0.0;0.0
9.149;0.0;-5.0;0.0;0.0;-0.0;0.0
9.251;0.0;-4.8075;0.0;0.0;-0.0;0.0
9.355;0.0;-4.3;0.0;0.0;-0.0;0.0
9.457;0.0;-3.79125;0.0;0.0;-0.0;0.0
9.558;0.0;-3.2825;0.0;0.0;-0.0;0.0
9.659;0.0;-2.77875;0.0;0.0;-0.0;0.0
9.76;0.0;-2.27125;0.0;0.0;-0.0;0.0
9.87;0.0;-1.7625;0.0;0.0;-0.0;0.0
9.973;0.0;-1.26;0.0;0.0;-0.0;0.0
10.081;0.0;-0.75375;0.0;0.0;-0.0;0.0
10.193;0.0;-0.03875;0.0;0.0;-0.0;0.0
10.303;-0.0;0.0;0.0;0.0;-0.0;0.0
10.404;-0.0;0.0;0.0;0.0;-0.0;0.0
10.507;-0.0;0.0;0.0;0.0;-0.0;0.0
10.608;-0.0;0.0;0.0;0.0;-0.0;0.0
10.71;-0.0;0.0;0.0;0.0;-0.0;0.0
10.811;-0.0;0.0;0.0;0.0;-0.0;0.0
10.914;-0.0;0.0;0.0;0.0;-0.0;0.0
11.015;-0.0;0.0;0.0;0.0;-0.0;0.0
11.115;-0.0;0.0;0.0;0.0;-0.0;0.0
11.221;-0.0;0.0;0.0;0.0;-0.0;0.0
11.322;-0.0;0.0;0.0;0.0;-0.0;0.0
11.436;-0.0;0.0;0.0;0.0;-0.0;0.0
11.538;-0.0;0.0;0.0;0.0;-0.0;0.0
11.644;-0.0;0.0;0.0;0.0;-0.0;0.0
11.744;-0.0;0.0;0.0;0.0;-0.0;0.0
11.845;-0.0;0.0;0.0;0.0;-0.0;0.0
11.949;-0.0;0.0;0.0;0.0;-0.0;0.0
12.051;-0.0;0.0;0.0;0.0;-0.0;0.0
12.153;-0.0;0.0;0.0;0.0;-0.0;0.0
12.255;-0.0;0.0;0.0;0.0;-0.0;0.0
12.372;-0.0;0.0;0.0;0.0;-0.0;0.0
12.49;0.0;-0.01875;0.0;0.0;-0.0;0.0
12.592;0.0;-0.71;0.0;0.0;-0.0;0.0
12.694;0.0;-1.22;0.0;0.0;-0.0;0.0
12.801;0.0;-1.73125;0.0;0.0;-0.0;0.0
12.906;0.0;-2.24125;0.0;0.0;-0.0;0.0
13.028;0.0;-2.755;0.0;0.0;-0.0;0.0
13.145;0.0;-3.52375;0.0;0.0;-0.0;0.0
13.264;0.0;-4.04;0.0;0.0;-0.0;0.0
13.365;0.0;-4.815;0.0;0.0;-0.0;0.0
13.471;0.0;-5.0675;0.0;0.0;-0.0;0.0
13.59;0.0;-5.5825;0.0;0.0;-0.0;0.0
13.701;0.0;-6.355;0.0;0.0;-0.0;0.0
13.803;0.0;-6.86375;0.0;0.0;-0.0;0.0
13.908;0.0;-7.37875;0.0;0.0;-0.0;0.0
14.024;0.0;-7.89;0.0;0.0;-0.0;0.0
14.135;0.0;-8.39375;0.0;0.0;-0.0;0.0
14.245;0.0;-9.15875;0.0;0.0;-0.0;0.0
14.356;0.0;-9.66375;0.0;0.0;-0.0;0.0
14.465;0.0;-10.0;0.0;0.0;-0.0;0.0
14.574;0.0;-10.0;0.0;0.0;-0.0;0.0
14.684;0.0;-10.0;0.0;0.0;-0.0;0.0
14.798;0.0;-10.0;0.0;0.0;-0.0;0.0
14.906;0.0;-10.0;0.0;0.0;-0.0;0.0
