Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
9.083;-0.0;0.0;0.0;0.0;-0.0;0.0
9.191;-0.0;0.0;0.0;0.0;-0.0;0.0
9.303;-0.0;0.0;0.0;0.0;-0.0;0.0
9.417;-0.0;0.0;0.0;0.0;-0.0;0.0
9.523;-0.0;0.0;0.0;0.0;-0.0;0.0
9.624;-0.0;0.0;0.0;0.0;-0.0;0.0
9.734;-0.0;0.0;0.0;0.0;-0.0;0.0
9.843;-0.0;0.0;0.0;0.0;-0.0;0.0
9.957;-0.0;0.0;0.0;0.0;-0.0;0.0
10.068;-0.0;0.0;0.0;0.0;-0.0;0.0
10.173;-0.0;0.0;0.0;0.0;-0.0;0.0
10.291;-0.0;0.0;0.0;0.0;-0.0;0.0
10.395;-0.0;0.0;0.0;0.0;-0.0;0.0
10.499;-0.0;0.0;0.0;0.0;-0.0;0.0
10.607;-0.0;0.0;0.0;0.0;-0.0;0.0
10.715;-0.0;0.0;0.0;0.0;-0.0;0.0
10.83;-0.0;0.0;0.0;0.0;-0.0;0.0
10.935;-0.0;0.0;0.0;0.0;-0.0;0.0
11.048;-0.0;0.0;0.0;0.0;-0.0;0.0
11.154;-0.0;0.0;0.0;0.0;-0.0;0.0
11.265;-0.0;0.0;0.0;0.0;-0.0;0.0
11.371;-0.0;0.0;0.0;0.0;-0.0;0.0
11.475;-0.0;0.0;0.0;0.0;-0.0;0.0
11.576;-0.0;0.0;0.0;0.0;-0.0;0.0
11.679;-0.0;0.0;0.0;0.0;-0.0;0.0
11.779;-0.0;0.0;0.0;0.0;-0.0;0.0
11.888;-0.0;0.0;0.0;0.0;-0.0;0.0
11.99;-0.0;0.0;0.0;0.0;-0.0;0.0
12.109;-0.0;0.0;0.0;0.0;-0.0;0.0
12.21;-0.0;0.0;0.0;0.0;-0.0;0.0
12.319;-0.0;0.0;0.0;0.0;-0.0;0.0
12.419;-0.0;0.0;0.0;0.0;-0.0;0.0
12.53;-0.0;0.0;0.0;0.0;-0.0;0.0
12.631;-0.0;0.0;0.0;0.0;-0.0;0.0
12.733;-0.0;0.0;0.0;0.0;-0.0;0.0
12.834;-0.0;0.0;0.0;0.0;-0.0;0.0
12.949;-0.0;0.0;0.0;0.0;-0.0;0.0
13.05;-0.0;0.0;0.0;0.0;-0.0;0.0
13.167;0.0;-0.53125;0.0;0.0;-0.0;0.0
