Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;-0.0;0.1;0.1;-0.0;-0.0;-0.0
0.13;-0.1;0.1;0.0;-0.0;-0.1;0.0
0.231;-0.0;-0.0;0.0;-0.1;0.0;-0.0
0.397;-0.0;0.0;0.1;-0.1;-0.0;-0.0
0.53;-0.0;0.0;0.1;-0.0;-0.1;0.1
0.664;-0.1;-0.0;0.0;-0.1;-0.1;0.1
0.796;0.0;-0.0;-0.1;-0.0;0.0;-0.0
0.995;-0.0;-0.0;-0.0;-0.0;0.1;-0.0
1.126;-0.0;-0.0;-0.0;0.0;-0.0;0.0
1.258;-0.1;-0.1;0.0;-0.0;-0.1;0.1
1.392;-0.0;0.0;0.1;-0.0;-0.1;0.0
1.491;-0.0;0.0;0.1;-0.0;-0.1;0.0
1.564;-0.0;0.0;0.1;-0.0;-0.1;0.0
1.624;-0.0;-0.0;0.0;-0.0;-0.0;0.0
1.723;-0.0;0.0;0.0;-0.0;-0.0;0.0
1.826;-0.0;-0.0;0.0;-0.0;-0.0;-0.0
1.924;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
2.021;-0.0;0.0;0.1;-0.0;-0.0;0.0
2.122;-0.0;0.1;0.1;-0.0;-0.0;0.0
2.188;-0.0;0.1;0.1;-0.0;-0.1;0.1
2.321;-0.0;0.1;0.1;-0.0;-0.1;0.1
2.386;-0.0;0.1;0.1;-0.0;0.0;-0.0
2.589;-0.1;0.1;0.1;-0.0;-0.0;0.0
2.685;-0.0;0.1;0.1;-0.1;-0.0;0.0
2.784;-0.0;0.1;0.1;-0.0;-0.0;0.0
2.887;-0.0;0.1;0.1;-0.0;-0.0;0.0
2.955;-0.1;0.0;0.0;-0.0;-0.0;0.0
3.053;-0.0;0.0;0.1;-0.1;-0.0;0.1
3.153;0.0;0.2;0.1;-0.0;-0.0;0.0
3.255;0.0;0.1;0.1;-0.0;0.0;-0.0
3.386;-0.0;0.1;0.1;-0.0;-0.0;0.0
3.452;-0.1;-0.0;0.0;-0.1;-0.1;0.1
3.552;-0.1;-0.0;0.1;-0.0;-0.1;0.0
3.621;-0.0;-0.0;0.1;-0.0;-0.1;0.0
3.717;-0.0;-0.0;0.0;-0.0;-0.1;0.0
3.785;-0.1;-0.0;0.0;-0.1;-0.1;0.0
3.882;-0.1;-0.0;0.0;-0.1;-0.1;0.0
3.951;-0.1;-0.0;0.0;-0.0;-0.1;0.0
4.144;-0.0;0.0;0.1;-0.0;-0.1;-0.0
4.246;-0.0;0.0;0.1;-0.0;-0.1;-0.0
4.379;-0.0;0.0;0.1;-0.0;-0.0;0.0
4.443;-0.0;-0.0;0.0;-0.0;-0.0;-0.0
4.543;-0.0;0.1;0.1;-0.0;-0.1;0.1
4.677;0.0;-0.0;0.0;-0.1;0.0;-0.0
4.841;0.0;-0.0;0.0;-0.1;0.0;-0.0
4.908;-0.0;0.1;0.1;-0.1;0.0;-0.0
5.042;-0.0;0.0;0.1;-0.1;0.0;-0.0
5.14;-0.0;0.0;0.0;-0.1;-0.0;-0.0
5.208;-0.0;0.0;0.0;-0.0;-0.0;-0.0
5.339;0.0;0.1;0.0;0.0;-0.0;0.0
5.438;-0.1;0.0;0.1;-0.0;-0.1;0.0
5.572;-0.1;0.0;0.1;-0.0;-0.1;0.0
5.638;-0.1;0.0;0.1;-0.0;-0.1;0.0
5.706;-0.1;0.0;0.1;-0.0;-0.1;0.0
5.77;-0.1;0.0;0.1;-0.0;-0.1;0.0
5.838;-0.0;0.0;0.0;-0.0;-0.0;0.0
5.936;-0.1;0.0;0.1;-0.0;-0.1;0.1
6.075;-0.1;-0.0;0.1;-0.0;-0.0;0.1
6.169;-0.0;0.0;-0.0;0.0;-0.0;-0.0
6.304;-0.0;-0.0;-0.0;-0.0;-0.0;0.1
6.438;-0.0;-0.1;-0.0;-0.0;-0.0;-0.1
6.573;-0.0;-0.1;-0.0;-0.0;-0.1;0.0
6.733;-0.0;-0.0;0.0;-0.1;-0.0;0.0
6.867;-0.0;-0.0;0.0;-0.1;-0.0;0.0
6.935;-0.1;-0.0;0.0;-0.0;-0.1;0.0
7.031;-0.1;-0.0;0.0;-0.0;-0.1;0.0
7.131;-0.1;-0.0;0.0;-0.0;-0.1;0.0
7.229;-0.0;0.1;0.1;-0.0;-0.0;-0.0
7.333;-0.0;0.2;0.1;-0.0;-0.1;0.1
7.498;-0.0;0.1;0.0;0.0;-0.1;-0.0
7.661;-0.1;0.0;0.0;-0.0;-0.1;0.1
7.834;-0.1;0.1;0.1;0.0;-0.1;0.1
7.893;-0.1;0.1;0.1;0.0;-0.1;0.1
7.96;-0.0;0.1;0.1;0.0;-0.0;0.0
8.059;0.0;0.1;0.1;-0.0;-0.0;0.0
8.192;0.0;-0.1;0.0;-0.1;-0.0;0.0
8.327;0.0;-0.1;-0.0;-0.0;-0.0;0.0
8.459;-0.1;-0.1;-0.1;-0.0;-0.1;0.0
8.557;-0.1;-0.1;-0.1;-0.0;-0.1;0.0
8.623;-0.1;-0.1;-0.1;-0.0;-0.0;0.0
8.723;-0.0;-0.1;0.0;-0.0;-0.1;0.1
8.857;-0.0;0.0;0.1;-0.0;-0.1;0.1
8.928;-0.1;-0.0;0.1;-0.0;-0.1;0.0
9.057;-0.0;-0.1;0.0;-0.0;-0.0;0.0
9.154;-0.0;-0.1;-0.0;-0.0;-0.0;-0.0
9.257;-0.0;-0.1;-0.0;0.0;-0.0;0.0
9.354;-0.0;-0.1;-0.0;0.0;-0.0;-0.0
9.452;-0.0;0.1;0.1;-0.0;0.1;-0.1
9.588;-0.1;0.1;0.1;-0.0;-0.0;0.0
9.786;-0.1;0.0;0.1;-0.0;-0.0;0.0
9.851;-0.1;0.0;0.1;-0.0;-0.0;0.0
9.951;-0.1;0.0;0.0;-0.1;-0.0;0.0
10.025;-0.1;0.0;0.0;-0.1;-0.0;0.0
10.083;-0.0;0.0;0.1;-0.0;-0.0;0.0
10.219;-0.0;0.1;0.1;-0.1;-0.0;0.0
10.315;-0.1;0.1;0.1;-0.0;-0.0;0.0
10.449;-0.1;0.1;0.1;-0.0;-0.0;0.0
10.515;0.0;0.1;0.0;-0.0;0.0;0.0
10.614;-0.0;0.0;0.1;-0.0;0.0;0.0
10.713;-0.0;0.1;0.1;-0.0;-0.0;0.0
10.848;-0.0;0.1;0.1;-0.0;-0.0;0.0
10.913;-0.0;0.1;0.1;-0.0;-0.0;-0.0
11.012;-0.0;0.1;0.1;-0.1;-0.1;0.1
11.145;-0.0;0.2;0.1;-0.1;-0.0;0.1
11.279;-0.0;0.0;0.1;-0.0;-0.0;0.0
11.376;-0.0;0.0;0.0;-0.0;-0.1;0.0
11.479;-0.1;0.0;0.0;-0.0;-0.1;0.0
11.575;-0.0;0.0;0.1;-0.0;-0.0;0.0
11.642;-0.1;0.0;-0.0;-0.0;-0.1;0.1
11.776;-0.0;-0.0;0.0;-0.0;-0.0;0.0
11.876;-0.0;0.0;0.1;-0.0;-0.0;0.0
11.975;-0.0;0.0;0.0;-0.0;0.0;0.0
12.109;-0.1;0.0;0.0;-0.0;0.0;0.0
12.209;-0.1;-0.1;-0.0;-0.0;-0.1;0.1
12.341;-0.0;0.1;0.1;0.0;-0.1;0.1
12.437;-0.0;0.1;0.1;0.0;-0.0;0.0
12.572;-0.0;0.1;0.1;0.0;-0.0;0.0
12.605;-0.0;0.1;0.1;-0.0;0.0;-0.0
12.737;-0.1;0.1;0.1;-0.0;-0.0;-0.0
12.837;-0.0;0.0;0.1;-0.0;-0.1;0.0
12.937;-0.1;-0.3;0.1;-0.0;-0.1;-0.0
13.037;0.0;-0.7;0.2;-0.1;-0.0;-0.0
13.168;0.0;-1.6;0.1;-0.0;-0.1;-0.0
13.268;-0.1;-2.2;0.1;-0.0;-0.0;0.0
13.403;-0.1;-2.7;0.1;-0.1;-0.0;0.0
13.533;-0.0;-3.2;0.1;-0.1;0.0;0.0
13.632;-0.0;-3.7;0.1;-0.1;0.0;0.0
13.768;-0.0;-4.5;0.0;-0.1;-0.0;0.0
13.868;0.1;-4.7;0.1;-0.1;-0.0;-0.0
14.032;0.1;-4.8;0.0;-0.1;-0.0;-0.0
14.166;0.1;-4.8;0.0;-0.1;-0.0;-0.0
14.265;0.0;-4.8;0.0;-0.1;-0.0;0.0
14.332;0.0;-4.8;0.0;-0.1;-0.0;0.0
14.428;0.0;-4.8;0.0;-0.1;-0.0;-0.0
14.496;0.0;-4.7;0.1;-0.1;-0.0;0.0
14.598;-0.0;-4.9;-0.0;-0.1;-0.1;0.1
14.73;0.1;-4.7;0.1;-0.1;-0.0;0.0
14.859;0.1;-4.7;0.0;-0.0;-0.0;0.0
14.993;0.0;-4.8;0.0;-0.0;-0.0;0.0
15.062;0.0;-4.9;-0.0;-0.0;-0.1;0.0
15.158;0.0;-4.8;0.0;-0.1;-0.1;0.0
15.258;0.1;-4.9;-0.0;-0.1;0.0;-0.0
15.393;0.0;-4.9;-0.0;-0.1;-0.0;-0.0
15.491;0.0;-4.8;-0.0;-0.1;-0.0;0.0
15.59;0.0;-4.9;-0.1;-0.1;0.0;-0.1
15.759;0.0;-4.8;0.0;-0.0;-0.0;-0.0
15.891;0.1;-4.9;-0.1;-0.0;-0.1;0.0
16.09;0.1;-4.5;-0.0;-0.1;0.1;-0.1
16.255;-0.1;-3.7;0.0;-0.1;-0.0;-0.0
16.39;-0.0;-3.2;0.1;-0.0;0.0;-0.0
16.519;0.0;-2.6;-0.0;-0.0;0.0;0.0
16.651;-0.0;-2.0;-0.0;-0.0;-0.0;0.0
16.784;-0.0;-1.2;-0.0;-0.0;-0.0;0.0
16.885;-0.1;-0.7;0.0;-0.1;-0.1;0.0
17.015;-0.1;0.0;0.0;-0.1;-0.1;0.1
17.15;-0.0;0.1;-0.0;-0.0;-0.1;0.1
17.286;-0.0;0.1;0.0;-0.0;-0.0;0.0
17.417;-0.0;0.1;0.1;-0.0;-0.0;0.0
17.513;-0.0;0.0;-0.0;0.0;-0.0;0.0
17.612;-0.0;0.0;0.0;-0.0;-0.0;0.0
17.679;-0.0;-0.0;-0.0;0.0;-0.0;0.0
17.781;-0.1;0.0;0.0;-0.0;-0.1;0.0
17.879;-0.1;-0.0;-0.0;-0.0;-0.0;0.1
17.978;-0.0;-0.0;-0.0;-0.0;-0.0;0.0
18.077;-0.1;0.1;0.1;-0.1;-0.0;0.0
18.21;-0.0;0.0;0.0;-0.0;0.0;0.0
18.313;-0.1;0.1;0.0;0.0;-0.1;0.1
18.447;-0.1;0.1;0.0;-0.0;-0.1;-0.0
18.575;-0.0;0.0;-0.0;-0.0;-0.0;-0.0
18.708;-0.0;0.0;-0.0;-0.0;-0.0;-0.0
18.775;-0.0;0.0;0.0;-0.0;-0.0;-0.0
18.843;-0.0;0.0;0.0;-0.0;-0.0;-0.0
18.941;-0.0;-0.0;-0.0;-0.0;-0.0;-0.0
19.04;-0.0;-0.1;0.0;-0.0;-0.0;-0.0
19.139;-0.1;-0.1;-0.1;-0.0;-0.0;0.1
19.272;-0.0;0.0;-0.0;-0.1;-0.0;0.0
19.372;-0.0;-0.0;0.0;0.0;-0.2;-0.0
19.538;-0.1;-0.0;0.0;-0.0;-1.0;0.0
19.74;-0.1;-0.1;-0.0;-0.0;-1.9;0.0
19.971;-0.1;0.0;0.1;-0.1;-3.1;0.1
20.234;-0.1;0.0;0.1;-0.0;-4.4;0.1
20.499;-0.2;-0.0;0.0;0.0;-4.9;0.0
20.7;0.0;-0.2;-0.0;-0.1;-4.8;-0.0
20.899;-0.2;0.0;0.0;0.0;-4.9;0.1
21.065;-0.1;0.0;0.1;-0.0;-4.9;0.1
21.163;-0.1;0.1;0.1;-0.0;-4.9;0.0
21.262;-0.2;0.0;0.1;0.0;-4.9;0.0
21.363;-0.2;0.0;0.1;0.0;-4.9;0.0
21.435;-0.2;0.0;0.1;0.0;-4.9;0.1
21.564;-0.2;0.0;0.1;0.0;-4.9;0.1
21.595;-0.1;0.0;0.1;0.0;-4.9;0.0
21.731;-0.1;0.0;0.1;0.0;-4.9;0.0
21.86;-0.1;-0.1;-0.0;-0.0;-4.9;0.0
21.959;-0.2;-0.0;0.0;-0.0;-4.9;0.1
22.094;-0.1;-0.1;0.0;-0.0;-4.9;0.0
