Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
0.001;-0.0;0.0;0.0;0.0;-0.0;0.0
0.105;-0.0;0.0;0.0;0.0;-0.0;0.0
0.21;-0.0;0.0;0.0;0.0;-0.0;0.0
0.315;-0.0;0.0;0.0;0.0;-0.0;0.0
0.416;-0.0;0.0;0.0;0.0;-0.0;0.0
0.517;-0.0;0.0;0.0;0.0;-0.0;0.0
0.618;-0.0;0.0;0.0;0.0;-0.0;0.0
0.721;-0.0;0.0;0.0;0.0;-0.0;0.0
0.822;-0.0;0.0;0.0;0.0;-0.0;0.0
0.932;-0.0;0.0;0.0;0.0;-0.0;0.0
1.041;-0.0;0.0;0.0;0.0;-0.0;0.0
1.153;-0.0;0.0;0.0;0.0;-0.0;0.0
1.264;-0.0;0.0;0.0;0.0;-0.0;0.0
1.377;-0.0;0.0;0.0;0.0;-0.0;0.0
1.484;-0.0;0.0;0.0;0.0;-0.0;0.0
1.597;-0.0;0.0;0.0;0.0;-0.0;0.0
1.707;-0.0;0.0;0.0;0.0;-0.0;0.0
1.817;-0.0;0.0;0.0;0.0;-0.0;0.0
1.927;-0.0;0.0;0.0;0.0;-0.0;0.0
2.039;-0.0;0.0;0.0;0.0;-0.0;0.0
2.149;-0.0;0.0;0.0;0.0;-0.0;0.0
2.258;-0.0;0.0;0.0;0.0;-0.0;0.0
2.37;-0.0;0.0;0.0;0.0;-0.0;0.0
2.481;-0.0;0.0;0.0;0.0;-0.0;0.0
2.593;-0.0;0.0;0.0;0.0;-0.0;0.0
2.702;-0.0;0.0;0.0;0.0;-0.0;0.0
2.802;-0.0;0.0;0.0;0.0;-0.0;0.0
2.906;-0.0;0.0;0.0;0.0;-0.0;0.0
3.007;-0.0;0.0;0.0;0.0;-0.0;0.0
3.109;-0.0;0.0;0.0;0.0;-0.0;0.0
3.21;-0.0;0.0;0.0;0.0;-0.0;0.0
3.31;-0.0;0.0;0.0;0.0;-0.0;0.0
3.411;-0.0;0.0;0.0;0.0;-0.0;0.0
3.511;-0.0;0.0;0.0;0.0;-0.0;0.0
3.614;-0.0;0.0;0.0;0.0;-0.0;0.0
3.72;-0.0;0.0;0.0;0.0;-0.0;0.0
3.827;-0.0;0.0;0.0;0.0;-0.0;0.0
3.927;-0.0;0.0;0.0;0.0;-0.0;0.0
4.037;-0.0;0.0;0.0;0.0;-0.0;0.0
4.143;-0.0;0.0;0.0;0.0;-0.0;0.0
4.254;-0.0;0.0;0.0;0.0;-0.0;0.0
4.355;-0.0;0.0;0.0;0.0;-0.0;0.0
4.479;-0.0;0.0;0.0;0.0;-0.0;0.0
4.581;-0.0;0.0;0.0;0.0;-0.0;0.0
4.682;-0.0;0.0;0.0;0.0;-0.0;0.0
4.79;-0.0;0.0;0.0;0.0;-0.0;0.0
4.9;-0.0;0.0;0.0;0.0;-0.0;0.0
5.002;-0.0;0.0;0.0;0.0;-0.0;0.0
5.123;-0.0;0.0;0.0;0.0;-0.0;0.0
5.224;-0.0;0.0;0.0;0.0;-0.0;0.0
5.33;-0.0;0.0;0.0;0.0;-0.0;0.0
5.441;-0.0;0.0;0.0;0.0;-0.0;0.0
5.549;-0.0;0.0;0.0;0.0;-0.0;0.0
5.65;-0.0;0.0;0.0;0.0;-0.0;0.0
5.776;-0.0;0.0;0.0;0.0;-0.0;0.0
5.886;-0.0;0.0;0.0;0.0;-0.0;0.0
5.987;-0.0;0.0;0.0;0.0;-0.0;0.0
6.11;-0.0;0.0;0.0;0.0;-0.0;0.0
6.225;-0.0;0.0;0.0;0.0;-0.0;0.0
6.336;-0.0;0.0;0.0;0.0;-0.0;0.0
6.444;-0.0;0.0;0.0;0.0;-0.0;0.0
6.559;-0.0;0.0;0.0;0.0;-0.0;0.0
6.666;-0.0;0.0;0.0;0.0;-0.0;0.0
6.782;-0.0;0.0;0.0;0.0;-0.0;0.0
6.887;-0.0;0.0;0.0;0.0;-0.0;0.0
6.988;-0.0;0.0;0.0;0.0;-0.0;0.0
7.097;-0.0;0.0;0.0;0.0;-0.0;0.0
7.206;-0.0;0.0;0.0;0.0;-0.0;0.0
7.319;-0.0;0.0;0.0;0.0;-0.0;0.0
7.426;-0.0;0.0;0.0;0.0;-0.0;0.0
7.526;-0.0;0.0;0.0;0.0;-0.0;0.0
7.633;-0.0;0.0;0.0;0.0;-0.0;0.0
7.735;-0.0;0.0;0.0;0.0;-0.0;0.0
7.862;-0.0;0.0;0.0;0.0;-0.0;0.0
7.971;-0.0;0.0;0.0;0.0;-0.0;0.0
8.085;-0.0;0.0;0.0;0.0;-0.0;0.0
8.192;-0.0;0.0;0.0;0.0;-0.0;0.0
8.303;-0.0;0.0;0.0;0.0;-0.0;0.0
8.411;-0.0;0.0;0.0;0.0;-0.0;0.0
8.524;-0.0;0.0;0.0;0.0;-0.0;0.0
8.636;-0.0;0.0;0.0;0.0;-0.0;0.0
8.752;-0.0;0.0;0.0;0.0;-0.0;0.0
8.862;-0.0;0.0;0.0;0.0;-0.0;0.0
8.964;-0.0;0.0;0.0;0.0;-0.0;0.0
9.064;-0.0;0.0;0.0;0.0;-0.0;0.0
9.173;-0.0;0.0;0.0;0.0;-0.0;0.0
9.284;-0.0;0.0;0.0;0.0;-0.0;0.0
9.4;-0.0;0.0;0.0;0.0;-0.0;0.0
9.507;-0.0;0.0;0.0;0.0;-0.0;0.0
9.623;-0.0;0.0;0.0;0.0;-0.0;0.0
9.73;-0.0;0.0;0.0;0.0;-0.0;0.0
9.83;-0.0;0.0;0.0;0.0;-0.0;0.0
9.939;-0.0;0.0;0.0;0.0;-0.0;0.0
10.047;-0.0;0.0;0.0;0.0;-0.0;0.0
10.156;-0.0;0.0;0.0;0.0;-0.0;0.0
10.257;-0.0;0.0;0.0;0.0;-0.0;0.0
10.363;-0.0;0.0;0.0;0.0;-0.0;0.0
10.464;-0.0;0.0;0.0;0.0;-0.0;0.0
10.564;-0.0;0.0;0.0;0.0;-0.0;0.0
10.665;-0.0;0.0;0.0;0.0;-0.0;0.0
10.765;-0.0;0.0;0.0;0.0;-0.0;0.0
10.866;-0.0;0.0;0.0;0.0;-0.0;0.0
10.969;-0.0;0.0;0.0;0.0;-0.0;0.0
11.071;-0.0;0.0;0.0;0.0;-0.0;0.0
11.172;-0.0;0.0;0.0;0.0;-0.0;0.0
11.272;-0.0;0.0;0.0;0.0;-0.0;0.0
11.382;-0.0;0.0;0.0;0.0;-0.0;0.0
11.49;-0.0;0.0;0.0;0.0;-0.0;0.0
11.602;-0.0;0.0;0.0;0.0;-0.0;0.0
11.713;-0.0;0.0;0.0;0.0;-0.0;0.0
11.824;-0.0;0.0;0.0;0.0;-0.0;0.0
11.938;-0.0;0.0;0.0;0.0;-0.0;0.0
12.039;-0.0;0.0;0.0;0.0;-0.0;0.0
12.145;-0.0;0.0;0.0;0.0;-0.0;0.0
12.254;-0.0;0.0;0.0;0.0;-0.0;0.0
12.365;-0.0;0.0;0.0;0.0;-0.0;0.0
12.471;-0.0;0.0;0.0;0.0;-0.0;0.0
12.602;-0.0;0.0;0.0;0.0;-0.0;0.0
12.709;-0.0;0.0;0.0;0.0;-0.0;0.0
12.824;-0.0;0.0;0.0;0.0;-0.0;0.0
12.925;-0.0;0.0;0.0;0.0;-0.0;0.0
13.044;-0.0;0.0;0.0;0.0;-0.0;0.0
13.146;-0.0;0.0;0.0;0.0;-0.0;0.0
13.265;-0.0;0.0;0.0;0.0;-0.0;0.0
13.367;-0.0;0.0;0.0;0.0;-0.0;0.0
13.468;-0.0;0.0;0.0;0.0;-0.0;0.0
13.577;-0.0;0.0;0.0;0.0;-0.0;0.0
13.685;-0.0;0.0;0.0;0.0;-0.0;0.0
13.786;-0.0;0.0;0.0;0.0;-0.0;0.0
13.889;-0.0;0.0;0.0;0.0;-0.0;0.0
13.992;-0.0;0.0;0.0;0.0;-0.0;0.0
14.092;-0.0;0.0;0.0;0.0;-0.0;0.0
14.195;-0.0;0.0;0.0;0.0;-0.0;0.0
14.296;-0.0;0.0;0.0;0.0;-0.0;0.0
14.411;-0.0;0.0;0.0;0.0;-0.0;0.0
14.512;-0.0;0.0;0.0;0.0;-0.0;0.0
14.619;-0.0;0.0;0.0;0.0;-0.0;0.0
14.719;-0.0;0.0;0.0;0.0;-0.0;0.0
14.82;-0.0;0.0;0.0;0.0;-0.0;0.0
14.922;-0.0;0.0;0.0;0.0;-0.0;0.0
15.036;-0.0;0.0;0.0;0.0;-0.0;0.0
15.138;-0.0;0.0;0.0;0.0;-0.0;0.0
15.249;-0.0;0.0;0.0;0.0;-0.0;0.0
15.35;-0.0;0.0;0.0;0.0;-0.0;0.0
15.469;-0.0;0.0;0.0;0.0;-0.0;0.0
15.57;-0.0;0.0;0.0;0.0;-0.0;0.0
15.673;-0.0;0.0;0.0;0.0;-0.0;0.0
15.794;-0.0;0.0;0.0;0.0;-0.0;0.0
15.911;-0.0;0.0;0.0;0.0;-0.0;0.0
16.012;-0.0;0.0;0.0;0.0;-0.0;0.0
16.115;-0.0;0.0;0.0;0.0;-0.0;0.0
16.235;-0.0;0.0;0.0;0.0;-0.0;0.0
16.337;-0.0;0.0;0.0;0.0;-0.0;0.0
16.446;-0.0;0.0;0.0;0.0;-0.0;0.0
16.556;-0.0;0.0;0.0;0.0;-0.0;0.0
16.658;-0.0;0.0;0.0;0.0;-0.0;0.0
16.762;-0.0;0.0;0.0;0.0;-0.0;0.0
16.87;0.0;-0.005;0.0;0.0;-0.0;0.0
16.979;0.0;-0.65875;0.0;0.0;-0.0;0.0
17.081;0.0;-1.16875;0.0;0.0;-0.0;0.0
17.181;0.0;-1.68;0.0;0.0;-0.0;0.0
17.283;0.0;-2.185;0.0;0.0;-0.0;0.0
17.384;0.0;-2.69625;0.0;0.0;-0.0;0.0
17.488;0.0;-3.205;0.0;0.0;-0.0;0.0
17.588;0.0;-3.71;0.0;0.0;-0.0;0.0
17.689;0.0;-4.2175;0.0;0.0;-0.0;0.0
17.797;0.0;-4.4725;0.0;0.0;-0.0;0.0
17.911;0.0;-4.9475;0.0;0.0;-0.0;0.0
18.02;0.0;-5.0;0.0;0.0;-0.0;0.0
18.125;0.0;-5.0;0.0;0.0;-0.0;0.0
18.229;0.0;-5.0;0.0;0.0;-0.0;0.0
18.339;0.0;-5.0;0.0;0.0;-0.0;0.0
18.45;0.0;-5.0;0.0;0.0;-0.0;0.0
18.559;0.0;-5.0;0.0;0.0;-0.0;0.0
18.669;0.0;-5.0;0.0;0.0;-0.0;0.0
18.779;0.0;-5.0;0.0;0.0;-0.0;0.0
18.889;0.0;-5.0;0.0;0.0;-0.0;0.0
18.989;0.0;-5.0;0.0;0.0;-0.0;0.0
19.098;0.0;-5.0;0.0;0.0;-0.0;0.0
19.209;0.0;-5.0;0.0;0.0;-0.0;0.0
19.321;0.0;-5.0;0.0;0.0;-0.0;0.0
19.433;0.0;-5.0;0.0;0.0;-0.0;0.0
19.541;0.0;-5.0;0.0;0.0;-0.0;0.0
19.656;0.0;-5.0;0.0;0.0;-0.0;0.0
19.763;0.0;-5.0;0.0;0.0;-0.0;0.0
19.863;0.0;-5.0;0.0;0.0;-0.0;0.0
19.974;0.0;-5.0;0.0;0.0;-0.0;0.0
20.085;0.0;-5.0;0.0;0.0;-0.0;0.0
20.194;0.0;-4.96;0.0;0.0;-0.0;0.0
20.313;0.0;-4.49125;0.0;0.0;-0.0;0.0
20.414;0.0;-3.72875;0.0;0.0;-0.0;0.0
20.528;0.0;-3.225;0.0;0.0;-0.0;0.0
20.637;0.0;-2.71625;0.0;0.0;-0.0;0.0
20.751;0.0;-2.2075;0.0;0.0;-0.0;0.0
20.851;0.0;-1.44625;0.0;0.0;-0.0;0.0
20.957;0.0;-1.1925;0.0;0.0;-0.0;0.0
21.065;0.0;-0.43625;0.0;0.0;-0.0;0.0
21.173;0.0;-0.0125;0.0;0.0;-0.0;0.0
21.29;-0.0;0.0;0.0;0.0;-0.0;0.0
21.393;-0.0;0.0;0.0;0.0;-0.0;0.0
21.513;-0.0;0.0;0.0;0.0;-0.0;0.0
21.626;-0.0;0.0;0.0;0.0;-0.0;0.0
21.762;-0.0;0.0;0.0;0.0;-0.0;0.0
21.863;-0.0;0.0;0.0;0.0;-0.0;0.0
21.967;-0.0;0.0;0.0;0.0;-0.0;0.0
22.067;-0.0;0.0;0.0;0.0;-0.0;0.0
22.168;-0.0;0.0;0.0;0.0;-0.0;0.0
22.278;-0.0;0.0;0.0;0.0;-0.0;0.0
22.386;-0.0;0.0;0.0;0.0;-0.0;0.0
22.501;-0.0;0.0;0.0;0.0;-0.0;0.0
22.602;-0.0;0.0;0.0;0.0;-0.0;0.0
22.707;-0.0;0.0;0.0;0.0;-0.0;0.0
22.812;-0.0;0.0;0.0;0.0;-0.0;0.0
22.924;-0.0;0.0;0.0;0.0;-0.0;0.0
23.038;-0.0;0.0;0.0;0.0;-0.0;0.0
23.147;-0.0;0.0;0.0;0.0;-0.0;0.0
23.258;-0.0;0.0;0.0;0.0;-0.0;0.0
23.369;-0.0;0.0;0.0;0.0;-0.0;0.0
23.476;-0.0;0.0;0.0;0.0;-0.24758603614756133;0.0
23.593;-0.0;0.0;0.0;0.0;-0.7427581084426839;0.0
23.701;-0.0;0.0;0.0;0.0;-1.2379301807378065;0.0
23.802;-0.0;0.0;0.0;0.0;-1.9806882891804907;0.0
23.909;-0.0;0.0;0.0;0.0;-2.2282743253280515;0.0
24.018;-0.0;0.0;0.0;0.0;-2.971032433770735;0.0
24.13;-0.0;0.0;0.0;0.0;-3.466204506065858;0.0
24.243;-0.0;0.0;0.0;0.0;-3.9613765783609813;0.0
24.356;-0.0;0.0;0.0;0.0;-4.456548650656103;0.0
24.456;-0.0;0.0;0.0;0.0;-4.827927704877446;0.0
24.568;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
24.693;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
24.802;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
24.914;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.018;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.12;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.226;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.343;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.448;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.549;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.664;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.764;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.878;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
25.984;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
26.1;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
26.212;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
26.32;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
26.434;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
26.543;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
26.654;-0.0;0.0;0.0;0.0;-4.766031195840555;0.0
26.762;-0.0;0.0;0.0;0.0;-4.332755632582323;0.0
26.883;-0.0;0.0;0.0;0.0;-3.8375835602872;0.0
26.984;-0.0;0.0;0.0;0.0;-3.094825451844516;0.0
27.085;-0.0;0.0;0.0;0.0;-2.5996533795493937;0.0
27.194;-0.0;0.0;0.0;0.0;-2.104481307254271;0.0
27.306;-0.0;0.0;0.0;0.0;-1.6093092349591485;0.0
27.407;-0.0;0.0;0.0;0.0;-0.8665511265164645;0.0
27.509;-0.0;0.0;0.0;0.0;-0.6189650903689032;0.0
27.613;-0.0;0.0;0.0;0.0;0.1237930180737806;0.0
27.714;-0.0;0.0;0.0;0.0;0.6189650903689032;0.0
27.821;-0.0;0.0;0.0;0.0;1.1141371626640255;0.0
27.922;-0.0;0.0;0.0;0.0;1.6093092349591485;0.0
28.029;-0.0;0.0;0.0;0.0;2.104481307254271;0.0
28.129;-0.0;0.0;0.0;0.0;2.5996533795493937;0.0
28.234;-0.0;0.0;0.0;0.0;3.094825451844516;0.0
28.344;-0.0;0.0;0.0;0.0;3.5899975241396387;0.0
28.455;-0.0;0.0;0.0;0.0;4.085169596434762;0.0
28.567;-0.0;0.0;0.0;0.0;4.827927704877446;0.0
28.672;-0.0;0.0;0.0;0.0;4.889824213914336;0.0
28.784;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
28.894;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.002;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.118;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.219;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.323;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.424;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.526;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.628;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.736;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.838;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
29.946;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.061;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.166;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.268;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.385;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.502;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.607;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.709;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.811;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
30.941;-0.0;0.0;0.0;0.0;4.456548650656103;0.0
31.061;-0.0;0.0;0.0;0.0;3.9613765783609813;0.0
31.161;-0.0;0.0;0.0;0.0;3.466204506065858;0.0
31.266;-0.0;0.0;0.0;0.0;2.971032433770735;0.0
31.382;-0.0;0.0;0.0;0.0;2.2282743253280515;0.0
31.491;-0.0;0.0;0.0;0.0;1.9806882891804907;0.0
31.592;-0.0;0.0;0.0;0.0;1.2379301807378065;0.0
31.704;-0.0;0.0;0.0;0.0;0.7427581084426839;0.0
31.808;-0.0;0.0;0.0;0.0;0.24758603614756133;0.0
31.926;-0.0;0.0;0.0;0.0;-0.0;0.0
32.031;-0.0;0.0;0.0;0.0;-0.0;0.0
32.149;-0.0;0.0;0.0;0.0;-0.0;0.0
32.251;-0.0;0.0;0.0;0.0;-0.0;0.0
32.354;-0.0;0.0;0.0;0.0;-0.0;0.0
32.488;-0.0;0.0;0.0;0.0;-0.0;0.0
32.588;-0.0;0.0;0.0;0.0;-0.0;0.0
32.696;-0.0;0.0;0.0;0.0;-0.0;0.0
32.815;-0.0;0.0;0.0;0.0;-0.0;0.0
32.917;-0.0;0.0;0.0;0.0;-0.0;0.0
33.017;-0.0;0.0;0.0;0.0;-0.0;0.0
33.118;-0.0;0.0;0.0;0.0;-0.0;0.0
33.223;-0.0;0.0;0.0;0.0;-0.0;0.0
33.332;-0.0;0.0;0.0;0.0;-0.0;0.0
33.449;-0.0;0.0;0.0;0.0;-0.0;0.0
33.553;-0.0;0.0;0.0;0.0;-0.0;0.0
33.663;-0.0;0.0;0.0;0.0;-0.0;0.0
33.773;-0.0;0.0;0.0;0.0;-0.0;0.0
33.89;-0.0;0.0;0.0;0.0;-0.0;0.0
33.991;-0.0;0.0;0.0;0.0;-0.0;0.0
34.106;-0.0;0.0;0.0;0.0;-0.0;0.0
34.213;-0.0;0.0;0.0;0.0;-0.0;0.0
34.323;-0.0;0.0;0.0;0.0;-0.0;0.0
34.436;-0.0;0.0;0.0;0.0;-0.0;0.0
34.537;-0.0;0.0;0.0;0.0;-0.0;0.0
34.642;-0.0;0.0;0.0;0.0;-0.0;0.0
34.75;-0.0;0.0;0.0;0.0;-0.0;0.0
34.86;-0.0;0.0;0.0;0.0;-0.0;0.0
34.972;-0.0;0.0;0.0;0.0;-0.0;0.0
35.083;-0.0;0.0;0.0;0.0;-0.0;0.0
35.194;-0.0;0.0;0.0;0.0;-0.0;0.0
35.308;-0.0;0.0;0.0;0.0;-0.0;0.0
35.415;-0.0;0.0;0.0;0.0;-0.0;0.0
35.531;-0.0;0.0;0.0;0.0;-0.0;0.0
35.638;-0.0;0.0;0.0;0.0;-0.0;0.0
35.752;-0.0;0.0;0.0;0.0;-0.0;0.0
35.855;-0.0;0.0;0.0;0.0;-0.0;0.0
35.956;-0.0;0.0;0.0;0.0;-0.0;0.0
36.069;-0.0;0.0;0.0;0.0;-0.0;0.0
36.182;-0.0;0.0;0.0;0.0;-0.0;0.0
36.292;-0.0;0.0;0.0;0.0;-0.1237930180737806;0.0
36.402;-0.0;0.0;0.0;0.0;-0.6189650903689032;0.0
36.514;-0.0;0.0;0.0;0.0;-1.3617231988115872;0.0
36.628;-0.0;0.0;0.0;0.0;-1.85689527110671;0.0
36.729;-0.0;0.0;0.0;0.0;-2.352067343401832;0.0
36.832;-0.0;0.0;0.0;0.0;-2.8472394156969547;0.0
36.944;-0.0;0.0;0.0;0.0;-3.3424114879920777;0.0
37.055;-0.0;0.0;0.0;0.0;-3.8375835602872;0.0
37.167;-0.0;0.0;0.0;0.0;-4.580341668729884;0.0
37.276;-0.0;0.0;0.0;0.0;-4.889824213914336;0.0
37.383;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
37.496;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
37.613;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
37.719;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
37.82;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
37.923;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.033;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.145;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.257;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.368;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.48;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.589;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.7;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.813;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
38.914;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
39.045;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
39.147;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
39.25;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
39.353;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
39.464;-0.0;0.0;0.0;0.0;-4.951720722951226;0.0
39.572;-0.0;0.0;0.0;0.0;-4.704134686803664;0.0
39.691;-0.0;0.0;0.0;0.0;-4.208962614508542;0.0
39.794;-0.0;0.0;0.0;0.0;-3.71379054221342;0.0
39.908;-0.0;0.0;0.0;0.0;-3.218618469918297;0.0
40.01;-0.0;0.0;0.0;0.0;-2.475860361475613;0.0
40.13;-0.0;0.0;0.0;0.0;-2.2282743253280515;0.0
40.239;-0.0;0.0;0.0;0.0;-1.4855162168853675;0.0
40.356;-0.0;0.0;0.0;0.0;-0.9903441445902453;0.0
40.468;-0.0;0.0;0.0;0.0;-0.24758603614756133;0.0
40.569;-0.0;0.0;0.0;0.0;0.24758603614756133;0.0
40.67;-0.0;0.0;0.0;0.0;0.7427581084426839;0.0
40.77;-0.0;0.0;0.0;0.0;1.2379301807378065;0.0
40.887;-0.0;0.0;0.0;0.0;1.733102253032929;0.0
40.999;-0.0;0.0;0.0;0.0;2.2282743253280515;0.0
41.106;-0.0;0.0;0.0;0.0;2.7234463976231744;0.0
41.221;-0.0;0.0;0.0;0.0;3.218618469918297;0.0
41.323;-0.0;0.0;0.0;0.0;3.9613765783609813;0.0
41.424;-0.0;0.0;0.0;0.0;4.456548650656103;0.0
41.535;-0.0;0.0;0.0;0.0;4.889824213914336;0.0
41.644;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
41.745;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
41.856;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
41.956;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.057;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.161;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.261;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.361;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.463;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.565;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.666;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.769;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.885;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
42.986;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
43.103;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
43.204;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
43.308;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
43.427;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
43.53;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
43.649;-0.0;0.0;0.0;0.0;4.951720722951226;0.0
43.751;-0.0;0.0;0.0;0.0;4.889824213914336;0.0
43.869;-0.0;0.0;0.0;0.0;4.270859123545432;0.0
43.971;-0.0;0.0;0.0;0.0;3.77568705125031;0.0
44.104;-0.0;0.0;0.0;0.0;3.032928942807626;0.0
44.207;-0.0;0.0;0.0;0.0;2.785342906660065;0.0
44.326;-0.0;0.0;0.0;0.0;2.042584798217381;0.0
44.428;-0.0;0.0;0.0;0.0;1.7949987620698193;0.0
44.53;-0.0;0.0;0.0;0.0;1.0522406536271356;0.0
44.631;-0.0;0.0;0.0;0.0;0.5570685813320129;0.0
44.734;-0.0;0.0;0.0;0.0;0.1237930180737806;0.0
44.846;-0.0;0.0;0.0;0.0;-0.0;0.0
44.952;-0.0;0.0;0.0;0.0;-0.0;0.0
45.052;-0.0;0.0;0.0;0.0;-0.0;0.0
45.152;-0.0;0.0;0.0;0.0;-0.0;0.0
45.254;-0.0;0.0;0.0;0.0;-0.0;0.0
45.366;-0.0;0.0;0.0;0.0;-0.0;0.0
45.466;-0.0;0.0;0.0;0.0;-0.0;0.0
45.574;-0.0;0.0;0.0;0.0;-0.0;0.0
45.69;-0.0;0.0;0.0;0.0;-0.0;0.0
