Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
7.263;-0.0;0.0;0.0;0.0;-0.0;0.0
7.385;-0.0;0.0;0.0;0.0;-0.0;0.0
7.497;-0.0;0.0;0.0;0.0;-0.0;0.0
7.613;-0.0;0.0;0.0;0.0;-0.0;0.0
7.718;-0.0;0.0;0.0;0.0;-0.0;0.0
7.826;-0.0;0.0;0.0;0.0;-0.0;0.0
7.93;-0.0;0.0;0.0;0.0;-0.0;0.0
8.036;-0.0;0.0;0.0;0.0;-0.0;0.0
8.137;-0.0;0.0;0.0;0.0;-0.0;0.0
8.237;-0.0;0.0;0.0;0.0;-0.0;0.0
8.338;-0.0;0.0;0.0;0.0;-0.0;0.0
8.438;-0.0;0.0;0.0;0.0;-0.0;0.0
8.539;-0.0;0.0;0.0;0.0;-0.0;0.0
8.639;-0.0;0.0;0.0;0.0;-0.0;0.0
8.743;-0.0;0.0;0.0;0.0;-0.0;0.0
8.845;-0.0;0.0;0.0;0.0;-0.0;0.0
8.945;-0.0;0.0;0.0;0.0;-0.0;0.0
9.056;-0.0;0.0;0.0;0.0;-0.0;0.0
9.162;-0.0;0.0;0.0;0.0;-0.0;0.0
9.263;-0.0;0.0;0.0;0.0;-0.0;0.0
9.367;-0.0;0.0;0.0;0.0;-0.0;0.0
9.476;-0.0;0.0;0.0;0.0;-0.0;0.0
9.578;-0.0;0.0;0.0;0.0;-0.0;0.0
9.683;-0.0;0.0;0.0;0.0;-0.0;0.0
9.8;-0.0;0.0;0.0;0.0;-0.0;0.0
9.923;-0.0;0.0;0.0;0.0;-0.0;0.0
10.024;-0.0;0.0;0.0;0.0;-0.0;0.0
10.13;-0.0;0.0;0.0;0.0;-0.0;0.0
10.245;-0.0;0.0;0.0;0.0;-0.0;0.0
10.349;-0.0;0.0;0.0;0.0;-0.0;0.0
10.451;-0.0;0.0;0.0;0.0;-0.0;0.0
10.553;-0.0;0.0;0.0;0.0;-0.0;0.0
10.655;-0.0;0.0;0.0;0.0;-0.0;0.0
10.772;-0.0;0.0;0.0;0.0;-0.0;0.0
10.875;-0.0;0.0;0.0;0.0;-0.0;0.0
10.975;-0.0;0.0;0.0;0.0;-0.0;0.0
11.08;-0.0;0.0;0.0;0.0;-0.0;0.0
11.181;-0.0;0.0;0.0;0.0;-0.0;0.0
11.284;0.0;-0.345;0.0;0.0;-0.0;0.0
11.385;0.0;-0.8575;0.0;0.0;-0.0;0.0
11.499;0.0;-1.36125;0.0;0.0;-0.0;0.0
11.6;0.0;-1.8725;0.0;0.0;-0.0;0.0
11.719;0.0;-2.3825;0.0;0.0;-0.0;0.0
11.821;0.0;-3.1425;0.0;0.0;-0.0;0.0
11.94;0.0;-3.6525;0.0;0.0;-0.0;0.0
12.045;0.0;-4.155;0.0;0.0;-0.0;0.0
12.165;0.0;-4.665;0.0;0.0;-0.0;0.0
12.265;0.0;-5.0;0.0;0.0;-0.0;0.0
12.379;0.0;-5.0;0.0;0.0;-0.0;0.0
12.485;0.0;-5.0;0.0;0.0;-0.0;0.0
12.606;0.0;-5.0;0.0;0.0;-0.0;0.0
12.707;0.0;-5.0;0.0;0.0;-0.0;0.0
12.827;0.0;-5.0;0.0;0.0;-0.0;0.0
12.928;0.0;-5.0;0.0;0.0;-0.0;0.0
13.044;0.0;-5.0;0.0;0.0;-0.0;0.0
13.146;0.0;-5.0;0.0;0.0;-0.0;0.0
13.262;0.0;-5.0;0.0;0.0;-0.0;0.0
13.363;0.0;-5.0;0.0;0.0;-0.0;0.0
13.464;0.0;-5.0;0.0;0.0;-0.0;0.0
13.565;0.0;-5.0;0.0;0.0;-0.0;0.0
13.67;0.0;-5.0;0.0;0.0;-0.0;0.0
13.77;0.0;-5.0;0.0;0.0;-0.0;0.0
13.876;0.0;-5.0;0.0;0.0;-0.0;0.0
13.99;0.0;-5.0;0.0;0.0;-0.0;0.0
14.115;0.0;-5.0;0.0;0.0;-0.0;0.0
14.217;0.0;-5.0;0.0;0.0;-0.0;0.0
14.333;0.0;-5.0;0.0;0.0;-0.0;0.0
14.433;0.0;-4.92875;0.0;0.0;-0.0;0.0
14.536;0.0;-4.6925;0.0;0.0;-0.0;0.0
14.637;0.0;-3.9275;0.0;0.0;-0.0;0.0
14.738;0.0;-3.68;0.0;0.0;-0.0;0.0
14.842;0.0;-2.91625;0.0;0.0;-0.0;0.0
14.942;0.0;-2.4075;0.0;0.0;-0.0;0.0
