Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;-0.1;-0.0;0.1;-0.1;-0.0;0.0
0.095;-0.1;-0.0;0.0;-0.1;-0.0;0.0
0.197;-0.1;0.0;0.0;-0.1;-0.0;0.0
0.329;-0.1;0.0;0.0;-0.1;-0.0;0.0
0.425;-0.1;0.0;0.0;-0.1;-0.0;0.0
0.525;-0.1;0.0;0.0;-0.1;-0.0;0.0
0.624;-0.1;0.0;0.0;-0.1;-0.0;0.0
0.692;-0.1;0.0;0.1;-0.1;-0.0;0.0
0.795;-0.1;0.0;0.1;-0.1;-0.0;0.0
0.828;-0.1;0.0;0.1;-0.1;-0.0;0.0
0.891;-0.1;-0.0;0.0;-0.1;-0.0;0.0
0.99;-0.1;-0.0;0.0;-0.1;-0.0;0.0
1.058;-0.0;-0.0;0.0;-0.1;-0.0;0.0
1.158;-0.0;-0.1;-0.0;-0.1;-0.0;0.0
1.226;-0.0;-0.1;-0.0;-0.1;-0.0;0.0
1.322;-0.1;0.0;0.0;-0.1;-0.0;-0.0
1.391;-0.0;0.0;0.1;-0.1;-0.0;0.0
1.492;-0.0;0.0;0.1;-0.1;-0.0;0.0
1.556;-0.0;0.0;0.0;-0.1;-0.0;0.0
1.624;-0.0;-0.0;0.0;-0.1;-0.0;0.0
1.723;-0.0;0.1;0.1;-0.1;-0.0;0.0
1.789;-0.0;0.0;0.1;-0.1;-0.0;0.0
1.853;-0.0;0.0;0.1;-0.1;-0.0;0.0
1.953;-0.0;0.0;0.1;-0.1;-0.0;0.0
2.02;-0.1;-0.0;0.0;-0.1;-0.0;0.0
2.089;-0.1;-0.0;0.0;-0.1;-0.0;0.0
2.152;-0.1;-0.0;0.0;-0.1;-0.0;0.0
2.251;-0.1;-0.0;0.0;-0.1;-0.0;0.0
2.317;-0.1;0.0;0.0;-0.1;-0.0;0.0
2.385;-0.1;0.0;0.0;-0.1;-0.0;0.0
2.417;-0.0;0.0;0.1;-0.1;-0.0;0.0
2.518;-0.0;0.0;0.0;-0.1;-0.0;-0.0
2.62;-0.1;0.0;0.1;-0.1;-0.0;0.0
2.683;-0.0;0.0;0.1;-0.1;-0.0;0.0
2.786;-0.1;0.0;0.1;-0.1;-0.0;0.0
2.817;-0.1;0.0;0.1;-0.1;-0.0;0.0
2.947;-0.1;0.0;0.1;-0.1;-0.0;0.0
3.016;-0.1;0.1;0.1;-0.1;-0.0;0.0
3.116;-0.0;0.1;0.2;-0.1;0.0;0.0
3.213;-0.0;0.1;0.1;-0.1;0.0;0.0
3.348;-0.0;0.1;0.1;-0.1;-0.0;0.0
3.447;-0.0;0.1;0.1;-0.1;0.0;0.0
3.512;-0.0;0.1;0.1;-0.1;0.0;0.0
3.58;-0.0;0.1;0.1;-0.1;0.0;0.0
3.647;-0.0;0.1;0.1;-0.1;0.0;0.0
3.713;-0.0;0.1;0.1;-0.1;0.0;0.0
3.781;-0.0;0.0;0.1;-0.1;0.0;0.0
3.848;-0.0;0.1;0.1;-0.1;0.0;-0.0
3.913;-0.0;0.1;0.1;-0.1;0.0;-0.0
3.981;-0.1;0.1;0.1;-0.1;-0.0;-0.0
4.011;-0.1;0.1;0.2;-0.1;0.0;-0.0
4.08;-0.0;0.1;0.1;-0.1;0.0;0.0
4.176;-0.0;0.1;0.1;-0.1;0.0;0.0
4.212;-0.0;0.1;0.1;-0.1;0.0;0.0
4.278;-0.0;0.1;0.1;-0.1;0.0;-0.0
4.345;-0.0;0.1;0.1;-0.1;0.0;-0.0
4.412;-0.0;0.1;0.1;-0.1;0.0;-0.0
4.478;-0.0;0.1;0.1;-0.1;0.0;-0.0
4.677;-0.0;0.1;0.1;-0.1;0.0;-0.0
4.742;-0.0;0.1;0.1;-0.1;-0.0;0.0
4.808;-0.0;0.1;0.1;-0.1;-0.0;0.0
4.908;-0.0;0.1;0.1;-0.1;-0.0;0.0
4.939;-0.0;0.1;0.1;-0.1;-0.0;0.0
5.005;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.073;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.172;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.235;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.269;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.337;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.404;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.469;-0.0;0.0;0.1;-0.1;-0.0;0.0
5.504;-0.0;0.1;0.1;-0.1;-0.0;0.0
5.602;-0.0;0.1;0.1;-0.1;-0.0;0.0
5.672;-0.1;0.1;0.1;-0.1;-0.0;0.0
5.738;-0.1;0.1;0.1;-0.1;-0.0;0.0
5.806;-0.1;0.1;0.1;-0.1;-0.0;0.0
5.867;-0.1;0.1;0.1;-0.1;-0.0;0.0
5.938;-0.1;0.1;0.1;-0.1;-0.0;0.0
5.999;-0.1;0.1;0.1;-0.1;-0.0;0.0
6.066;-0.1;0.1;0.1;-0.1;-0.0;0.0
6.131;-0.1;0.1;0.2;-0.1;-0.0;0.0
6.2;-0.1;0.1;0.1;-0.1;-0.0;0.0
6.299;-0.1;0.1;0.1;-0.1;-0.0;0.0
6.367;-0.0;0.0;0.1;-0.1;-0.0;0.0
6.431;-0.0;0.0;0.1;-0.1;-0.0;0.0
6.501;-0.0;0.0;0.0;-0.1;0.0;-0.0
6.565;-0.0;0.1;0.1;-0.1;0.0;-0.0
