Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
0.003;-0.0;0.0;0.0;0.0;-0.0;0.0
0.104;-0.0;0.0;0.0;0.0;-0.0;0.0
0.211;-0.0;0.0;0.0;0.0;-0.0;0.0
0.312;-0.0;0.0;0.0;0.0;-0.0;0.0
0.414;-0.0;0.0;0.0;0.0;-0.0;0.0
0.522;-0.0;0.0;0.0;0.0;-0.0;0.0
0.622;-0.0;0.0;0.0;0.0;-0.0;0.0
0.731;-0.0;0.0;0.0;0.0;-0.0;0.0
0.835;-0.0;0.0;0.0;0.0;-0.0;0.0
0.936;-0.0;0.0;0.0;0.0;-0.0;0.0
1.042;-0.0;0.0;0.0;0.0;-0.0;0.0
1.149;-0.0;0.0;0.0;0.0;-0.0;0.0
1.264;-0.0;0.0;0.0;0.0;-0.0;0.0
1.365;-0.0;0.0;0.0;0.0;-0.0;0.0
1.468;-0.0;0.0;0.0;0.0;-0.0;0.0
1.583;-0.0;0.0;0.0;0.0;-0.0;0.0
1.691;-0.0;0.0;0.0;0.0;-0.0;0.0
1.805;-0.0;0.0;0.0;0.0;-0.0;0.0
1.912;-0.0;0.0;0.0;0.0;-0.0;0.0
2.028;-0.0;0.0;0.0;0.0;-0.0;0.0
2.139;-0.0;0.0;0.0;0.0;-0.0;0.0
2.246;-0.0;0.0;0.0;0.0;-0.0;0.0
2.362;-0.0;0.0;0.0;0.0;-0.0;0.0
2.465;-0.0;0.0;0.0;0.0;-0.0;0.0
2.566;-0.0;0.0;0.0;0.0;-0.0;0.0
2.676;-0.0;0.0;0.0;0.0;-0.0;0.0
2.786;-0.0;0.0;0.0;0.0;-0.0;0.0
2.898;-0.0;0.0;0.0;0.0;-0.0;0.0
3.009;-0.0;0.0;0.0;0.0;-0.0;0.0
3.121;-0.0;0.0;0.0;0.0;-0.0;0.0
3.234;-0.0;0.0;0.0;0.0;-0.0;0.0
3.34;-0.0;0.0;0.0;0.0;-0.0;0.0
3.458;-0.0;0.0;0.0;0.0;-0.0;0.0
3.558;-0.0;0.0;0.0;0.0;-0.0;0.0
3.659;-0.0;0.0;0.0;0.0;-0.0;0.0
3.759;-0.0;0.0;0.0;0.0;-0.0;0.0
3.86;-0.0;0.0;0.0;0.0;-0.0;0.0
3.961;-0.0;0.0;0.0;0.0;-0.0;0.0
4.063;-0.0;0.0;0.0;0.0;-0.0;0.0
4.167;-0.0;0.0;0.0;0.0;-0.0;0.0
4.267;-0.0;0.0;0.0;0.0;-0.0;0.0
4.37;-0.0;0.0;0.0;0.0;-0.0;0.0
4.474;-0.0;0.0;0.0;0.0;-0.0;0.0
4.584;-0.0;0.0;0.0;0.0;-0.0;0.0
4.688;-0.0;0.0;0.0;0.0;-0.0;0.0
4.792;-0.0;0.0;0.0;0.0;-0.0;0.0
4.901;-0.0;0.0;0.0;0.0;-0.0;0.0
5.015;-0.0;0.0;0.0;0.0;-0.0;0.0
5.12;-0.0;0.0;0.0;0.0;-0.0;0.0
5.222;-0.0;0.0;0.0;0.0;-0.0;0.0
5.338;-0.0;0.0;0.0;0.0;-0.0;0.0
5.439;-0.0;0.0;0.0;0.0;-0.0;0.0
5.548;-0.0;0.0;0.0;0.0;-0.0;0.0
5.659;-0.0;0.0;0.0;0.0;-0.0;0.0
5.774;-0.0;0.0;0.0;0.0;-0.0;0.0
5.886;-0.0;0.0;0.0;0.0;-0.0;0.0
5.992;-0.0;0.0;0.0;0.0;-0.0;0.0
6.093;-0.0;0.0;0.0;0.0;-0.0;0.0
6.198;-0.0;0.0;0.0;0.0;-0.0;0.0
6.313;-0.0;0.0;0.0;0.0;-0.0;0.0
6.427;-0.0;0.0;0.0;0.0;-0.0;0.0
6.532;-0.0;0.0;0.0;0.0;-0.0;0.0
6.649;-0.0;0.0;0.0;0.0;-0.0;0.0
6.755;-0.0;0.0;0.0;0.0;-0.0;0.0
6.868;-0.0;0.0;0.0;0.0;-0.0;0.0
6.978;0.0;-0.18125;0.0;0.0;-0.0;0.0
7.091;0.0;-0.69625;0.0;0.0;-0.0;0.0
7.204;0.0;-1.20625;0.0;0.0;-0.0;0.0
7.305;0.0;-1.9725;0.0;0.0;-0.0;0.0
7.411;0.0;-2.4775;0.0;0.0;-0.0;0.0
7.522;0.0;-2.7325;0.0;0.0;-0.0;0.0
7.63;0.0;-3.49625;0.0;0.0;-0.0;0.0
7.743;0.0;-4.0;0.0;0.0;-0.0;0.0
7.857;0.0;-4.51;0.0;0.0;-0.0;0.0
7.961;0.0;-4.96875;0.0;0.0;-0.0;0.0
8.077;0.0;-5.0;0.0;0.0;-0.0;0.0
8.185;0.0;-5.0;0.0;0.0;-0.0;0.0
8.301;0.0;-5.0;0.0;0.0;-0.0;0.0
8.411;0.0;-5.0;0.0;0.0;-0.0;0.0
8.516;0.0;-5.0;0.0;0.0;-0.0;0.0
8.617;0.0;-5.0;0.0;0.0;-0.0;0.0
8.729;0.0;-5.0;0.0;0.0;-0.0;0.0
8.835;0.0;-5.0;0.0;0.0;-0.0;0.0
8.949;0.0;-5.0;0.0;0.0;-0.0;0.0
9.064;0.0;-5.0;0.0;0.0;-0.0;0.0
9.164;0.0;-5.0;0.0;0.0;-0.0;0.0
9.27;0.0;-5.0;0.0;0.0;-0.0;0.0
9.397;0.0;-5.0;0.0;0.0;-0.0;0.0
9.497;0.0;-5.0;0.0;0.0;-0.0;0.0
9.612;0.0;-5.0;0.0;0.0;-0.0;0.0
9.722;0.0;-5.0;0.0;0.0;-0.0;0.0
9.838;0.0;-5.0;0.0;0.0;-0.0;0.0
9.941;0.0;-5.0;0.0;0.0;-0.0;0.0
10.051;0.0;-5.0;0.0;0.0;-0.0;0.0
10.155;0.0;-5.0;0.0;0.0;-0.0;0.0
10.259;0.0;-4.9325;0.0;0.0;-0.0;0.0
10.36;0.0;-4.1925;0.0;0.0;-0.0;0.0
10.462;0.0;-3.9375;0.0;0.0;-0.0;0.0
10.596;0.0;-3.175;0.0;0.0;-0.0;0.0
10.711;0.0;-2.67125;0.0;0.0;-0.0;0.0
10.816;0.0;-1.91;0.0;0.0;-0.0;0.0
10.918;0.0;-1.65625;0.0;0.0;-0.0;0.0
11.035;0.0;-0.9;0.0;0.0;-0.0;0.0
11.139;0.0;-0.3925;0.0;0.0;-0.0;0.0
11.256;0.0;-0.00375;0.0;0.0;-0.0;0.0
11.36;-0.0;0.0;0.0;0.0;-0.0;0.0
11.473;-0.0;0.0;0.0;0.0;-0.0;0.0
11.584;-0.0;0.0;0.0;0.0;-0.0;0.0
11.685;-0.0;0.0;0.0;0.0;-0.0;0.0
11.787;-0.0;0.0;0.0;0.0;-0.0;0.0
11.892;-0.0;0.0;0.0;0.0;-0.0;0.0
12.003;-0.0;0.0;0.0;0.0;-0.0;0.0
12.105;-0.0;0.0;0.0;0.0;-0.0;0.0
12.206;-0.0;0.0;0.0;0.0;-0.0;0.0
12.307;-0.0;0.0;0.0;0.0;-0.0;0.0
12.408;-0.0;0.0;0.0;0.0;-0.0;0.0
12.511;-0.0;0.0;0.0;0.0;-0.0;0.0
12.62;-0.0;0.0;0.0;0.0;-0.0;0.0
12.732;-0.0;0.0;0.0;0.0;-0.0;0.0
12.834;-0.0;0.0;0.0;0.0;-0.0;0.0
12.939;-0.0;0.0;0.0;0.0;-0.0;0.0
13.04;-0.0;0.0;0.0;0.0;-0.0;0.0
13.141;-0.0;0.0;0.0;0.0;-0.0;0.0
13.244;-0.0;0.0;0.0;0.0;-0.0;0.0
13.345;-0.0;0.0;0.0;0.0;-0.0;0.0
13.445;0.0;-0.23279499771315543;9.967861671000833e-05;0.049051714597674184;-0.0;0.0
13.553;0.0;-0.9837361739532973;0.0017833340596471459;0.2074769082187935;-0.0;0.0
13.668;0.0;-2.1102489167281164;0.00822965233107631;0.44570244597021486;-0.0;0.0
13.773;0.0;-2.4846817856038133;0.01142008683298279;0.525036384702794;-0.0;0.0
13.874;0.0;-3.60112567047001;0.024057144512047657;0.7620411394461482;-0.0;0.0
13.975;0.0;-3.978279297280758;0.02938860005174071;0.8422607019652247;-0.0;0.0
14.076;0.0;-5.111955937242768;0.04866691985077942;1.0838684733406547;-0.0;0.0
14.177;0.0;-5.85867861743192;0.06404741395182434;1.2434046864821744;-0.0;0.0
14.283;0.0;-6.236224889887843;0.07263959191495495;1.3241876760231013;-0.0;0.0
