Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;0.0;-0.0;-0.1;0.1;0.0;0.0
0.295;0.0;-0.0;-0.1;0.1;0.0;0.0
0.362;0.0;-0.1;-0.1;0.0;0.0;0.0
0.461;0.0;-0.0;-0.1;0.1;0.0;0.0
0.561;-0.0;0.0;-0.0;0.0;0.0;0.0
0.627;-0.0;0.0;-0.0;0.0;0.0;0.0
0.729;-0.0;0.0;-0.0;0.1;0.0;-0.0
0.828;0.0;0.0;0.0;0.0;0.0;-0.0
0.96;0.0;0.0;0.0;0.0;0.0;-0.0
0.997;0.0;0.0;0.0;0.0;0.1;-0.0
1.058;0.0;0.1;0.0;0.0;0.0;-0.0
1.128;-0.0;0.0;-0.0;0.0;0.0;-0.0
1.224;0.0;0.0;-0.0;0.0;0.1;-0.0
1.324;-0.0;0.0;-0.1;0.0;0.0;-0.0
1.423;-0.0;0.0;-0.0;0.0;0.0;-0.0
1.489;-0.0;0.0;-0.1;0.0;0.0;-0.0
1.558;-0.0;0.0;-0.1;0.0;0.0;-0.0
1.626;-0.0;-0.0;-0.0;0.0;0.0;-0.0
1.691;0.1;-0.0;-0.0;0.0;0.1;-0.0
1.823;0.1;0.0;-0.0;0.0;0.1;-0.0
1.957;0.0;0.0;-0.0;0.0;0.0;-0.0
2.021;0.0;0.0;0.0;0.0;0.0;-0.0
2.087;-0.0;0.0;0.0;0.0;0.0;-0.0
2.186;0.0;0.1;0.0;0.0;0.1;-0.0
2.253;-0.1;0.0;0.0;0.0;0.0;0.0
2.421;-0.0;0.1;0.1;-0.0;0.1;-0.0
2.52;0.0;0.0;0.0;0.0;0.1;-0.0
2.651;0.0;0.1;0.0;0.0;0.0;-0.0
2.784;0.0;0.1;0.0;0.0;0.0;-0.0
2.85;0.0;0.1;0.0;0.1;0.0;-0.0
2.916;-0.0;0.1;0.0;0.0;0.0;-0.0
3.015;0.0;0.0;0.0;0.0;0.0;-0.0
3.115;-0.0;0.0;-0.0;0.0;0.1;-0.0
3.315;-0.0;0.0;-0.0;0.0;0.1;-0.0
3.382;0.0;0.0;0.0;0.0;0.1;-0.0
3.451;-0.0;0.0;-0.0;0.0;0.1;-0.0
3.516;0.0;0.0;-0.0;0.1;0.1;-0.0
3.617;0.0;0.0;0.0;0.0;0.1;-0.0
3.65;0.0;0.1;0.0;0.0;0.1;-0.0
3.779;-0.0;0.1;0.0;0.0;0.0;-0.0
3.849;-0.0;0.1;0.0;0.0;0.0;-0.0
3.881;0.0;0.1;0.0;0.0;0.0;-0.0
3.981;0.0;0.1;0.1;0.0;0.1;-0.1
4.084;-0.0;-0.0;0.0;0.0;0.1;-0.0
4.147;-0.0;-0.0;0.0;0.0;0.1;-0.0
4.314;-0.0;0.0;0.0;0.0;0.0;-0.0
4.411;-0.0;0.0;0.0;0.0;0.1;-0.0
4.474;0.0;0.0;0.0;0.0;0.1;-0.0
4.607;-0.0;0.1;0.0;0.0;0.0;-0.0
4.709;0.0;0.0;0.1;0.0;0.1;-0.0
4.807;0.0;0.1;0.1;0.0;0.1;-0.0
4.906;0.0;0.1;0.0;0.0;0.1;-0.0
5.008;-0.0;0.0;0.0;0.0;0.0;-0.0
5.075;-0.0;0.0;0.0;0.0;0.0;-0.0
5.171;0.0;-0.0;-0.1;0.1;0.1;-0.0
5.305;0.0;-0.0;-0.1;0.1;0.1;-0.0
5.373;0.0;-0.0;-0.0;0.0;0.1;-0.0
5.503;0.0;0.1;-0.0;0.0;0.0;-0.0
5.606;-0.0;0.1;0.0;-0.0;0.0;-0.0
5.674;-0.0;0.1;0.0;0.0;0.0;-0.0
5.768;-0.0;0.1;0.0;0.0;0.0;-0.0
5.867;0.0;0.0;-0.0;0.1;0.1;-0.0
6.003;0.0;-0.0;-0.1;0.1;0.0;-0.0
6.066;-0.0;0.0;-0.0;0.0;0.0;-0.0
6.169;-0.0;0.0;-0.0;0.0;0.0;-0.0
6.233;-0.0;0.0;0.0;0.0;0.0;-0.0
6.3;-0.0;0.1;-0.0;0.0;0.0;0.0
6.435;-0.0;0.0;-0.0;0.0;0.0;-0.0
6.504;0.0;-0.0;-0.0;0.0;0.0;-0.0
6.601;0.0;-0.0;-0.0;0.1;0.0;-0.0
6.667;0.0;-0.0;-0.0;0.0;0.0;-0.0
6.766;-0.0;-0.0;0.0;0.0;0.0;-0.0
6.899;0.0;-0.0;-0.0;0.0;0.0;-0.0
6.996;0.0;0.0;-0.0;0.0;0.0;-0.0
7.064;0.0;0.0;-0.0;0.0;0.0;-0.0
7.132;-0.0;0.0;0.0;0.0;0.0;0.0
7.227;-0.0;0.0;0.0;0.0;0.0;0.0
7.328;-0.0;0.1;0.1;0.0;0.0;0.0
7.427;-0.0;0.1;0.0;0.0;0.0;-0.0
7.526;0.0;0.1;0.0;0.0;0.0;-0.0
7.626;0.0;0.0;-0.0;0.0;0.0;-0.0
7.725;0.0;0.0;0.0;0.0;0.1;-0.1
7.927;-0.0;0.0;0.0;0.0;0.1;-0.1
7.991;-0.0;0.1;0.0;0.0;0.0;-0.0
8.124;0.0;0.1;0.0;0.0;0.0;-0.0
8.194;0.0;0.1;0.1;0.0;0.0;-0.0
8.259;0.0;0.1;0.1;0.0;0.0;-0.0
8.327;0.0;0.1;0.1;0.0;0.0;-0.0
8.422;0.0;0.1;0.1;0.0;0.0;-0.0
8.459;-0.0;0.1;0.0;0.0;0.0;-0.0
8.555;-0.0;0.1;0.0;0.0;0.0;-0.0
8.624;-0.0;0.1;0.0;0.0;0.0;-0.0
8.69;0.1;0.0;0.0;0.1;0.0;-0.0
8.821;0.0;0.0;-0.0;0.0;0.0;-0.0
8.921;0.0;-0.4;-0.0;0.0;0.0;-0.0
9.053;0.0;-1.1;-0.1;0.0;0.0;-0.0
9.219;0.1;-1.9;0.0;0.1;0.0;-0.0
9.321;0.0;-2.4;0.0;0.1;0.0;-0.0
9.492;0.0;-3.1;0.0;0.1;0.1;-0.0
9.586;-0.0;-3.6;-0.0;0.0;0.0;-0.0
9.716;0.0;-4.2;-0.0;0.0;0.1;-0.0
9.886;0.1;-4.7;0.0;0.1;0.1;-0.0
10.018;0.1;-4.8;0.0;0.0;0.0;-0.0
10.121;0.1;-5.0;-0.1;0.0;0.0;-0.0
10.214;0.1;-4.9;-0.0;0.0;0.0;-0.0
10.316;0.1;-4.9;-0.0;0.0;0.1;-0.0
10.446;0.1;-4.9;-0.0;0.0;0.1;-0.0
10.513;0.1;-4.9;-0.0;0.0;0.0;-0.0
10.647;0.1;-4.9;-0.0;0.0;0.1;-0.0
10.715;0.2;-4.8;0.0;0.0;0.1;-0.0
10.883;0.1;-4.9;0.0;0.0;0.1;-0.0
10.977;0.1;-4.8;0.0;0.0;0.0;0.0
11.146;0.1;-5.0;-0.1;0.0;0.1;0.0
11.278;0.1;-4.9;-0.1;0.0;0.1;-0.1
11.41;0.1;-4.9;-0.1;0.0;0.1;-0.0
11.575;0.1;-4.9;-0.1;0.0;0.1;-0.0
11.643;0.1;-4.8;-0.0;0.0;0.0;-0.0
11.773;0.1;-4.9;-0.0;-0.0;0.0;-0.0
11.875;0.1;-4.9;-0.0;-0.0;0.0;-0.0
11.971;0.1;-4.9;-0.0;0.0;0.0;0.0
12.042;0.1;-4.9;-0.0;0.0;0.0;0.0
12.109;0.1;-4.9;-0.0;-0.0;0.0;0.0
12.207;0.1;-4.6;0.0;0.0;0.0;-0.0
12.372;0.0;-3.8;0.0;0.0;0.1;-0.0
12.506;0.0;-3.3;0.1;0.1;0.0;-0.0
12.671;0.0;-2.5;0.0;0.1;0.0;0.0
12.804;0.1;-1.7;0.0;0.0;0.0;-0.0
12.971;0.1;-0.8;-0.0;0.0;0.1;-0.0
13.1;-0.0;-0.2;0.0;0.0;0.0;-0.0
13.234;0.0;-0.0;0.0;0.0;0.0;-0.0
13.332;0.0;0.1;0.0;0.0;0.1;-0.0
13.398;0.0;0.1;0.0;0.1;0.0;-0.0
13.531;0.0;0.0;0.0;0.0;-0.0;-0.0
13.597;0.0;0.0;0.0;0.0;0.0;-0.0
13.7;0.0;-0.0;0.0;0.1;0.0;-0.0
13.763;-0.0;0.0;0.0;0.1;0.0;-0.0
13.863;0.0;-0.0;0.0;0.1;0.1;-0.0
13.998;-0.0;0.0;0.0;0.1;0.0;-0.0
14.095;-0.0;0.1;0.0;0.0;0.0;-0.0
14.195;-0.0;0.1;0.1;0.0;0.0;-0.0
14.262;-0.0;0.1;0.0;0.0;0.0;-0.0
14.328;0.0;0.1;0.0;0.1;0.0;-0.0
14.429;-0.0;0.0;0.1;0.0;0.0;-0.0
14.53;-0.0;0.0;0.1;0.0;0.0;-0.0
14.662;0.0;-0.0;-0.0;0.1;0.1;-0.0
14.76;-0.0;-0.0;0.0;0.0;0.0;-0.0
14.927;-0.0;-0.0;0.0;0.0;0.0;-0.0
14.991;-0.0;-0.1;-0.0;0.1;0.1;-0.0
15.056;0.0;0.0;0.0;0.0;0.1;-0.0
15.194;0.0;0.0;0.0;0.0;0.1;-0.0
15.257;-0.0;-0.0;0.0;0.0;0.0;-0.0
15.391;-0.0;-0.0;0.0;0.0;0.0;-0.0
15.455;-0.0;0.0;-0.0;0.1;0.0;0.0
15.626;-0.0;-0.7;-0.0;0.0;0.0;0.0
15.757;-0.0;-1.5;-0.0;0.0;0.0;-0.0
15.889;0.1;-2.2;0.0;0.1;0.1;-0.0
16.022;0.1;-3.1;-0.1;0.0;0.1;-0.1
