Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
14.201;-0.0;0.0;0.0;0.0;-0.0;0.0
14.321;-0.0;0.0;0.0;0.0;-0.0;0.0
14.423;-0.0;0.0;0.0;0.0;-0.0;0.0
14.537;-0.0;0.0;0.0;0.0;-0.0;0.0
14.639;-0.0;0.0;0.0;0.0;-0.0;0.0
14.742;-0.0;0.0;0.0;0.0;-0.0;0.0
14.847;-0.0;0.0;0.0;0.0;-0.0;0.0
14.953;-0.0;0.0;0.0;0.0;-0.0;0.0
15.057;-0.0;0.0;0.0;0.0;-0.0;0.0
15.163;-0.0;0.0;0.0;0.0;-0.0;0.0
15.27;-0.0;0.0;0.0;0.0;-0.0;0.0
15.381;-0.0;0.0;0.0;0.0;-0.0;0.0
15.497;-0.0;0.0;0.0;0.0;-0.0;0.0
15.602;-0.0;0.0;0.0;0.0;-0.0;0.0
15.707;-0.0;0.0;0.0;0.0;-0.0;0.0
15.818;-0.0;0.0;0.0;0.0;-0.0;0.0
15.925;-0.0;0.0;0.0;0.0;-0.0;0.0
16.039;-0.0;0.0;0.0;0.0;-0.0;0.0
16.145;-0.0;0.0;0.0;0.0;-0.0;0.0
16.256;-0.0;0.0;0.0;0.0;-0.0;0.0
16.363;-0.0;0.0;0.0;0.0;-0.0;0.0
16.475;-0.0;0.0;0.0;0.0;-0.0;0.0
16.578;-0.0;0.0;0.0;0.0;-0.0;0.0
16.679;-0.0;0.0;0.0;0.0;-0.0;0.0
16.795;-0.0;0.0;0.0;0.0;-0.0;0.0
16.896;-0.0;0.0;0.0;0.0;-0.0;0.0
17.013;-0.0;0.0;0.0;0.0;-0.0;0.0
17.128;-0.0;0.0;0.0;0.0;-0.0;0.0
17.232;-0.0;0.0;0.0;0.0;-0.0;0.0
17.347;-0.0;0.0;0.0;0.0;-0.0;0.0
17.452;-0.0;0.0;0.0;0.0;-0.0;0.0
17.564;-0.0;0.0;0.0;0.0;-0.0;0.0
17.665;-0.0;0.0;0.0;0.0;-0.0;0.0
17.765;-0.0;0.0;0.0;0.0;-0.0;0.0
17.868;-0.0;0.0;0.0;0.0;-0.0;0.0
17.969;-0.0;0.0;0.0;0.0;-0.0;0.0
18.079;-0.0;0.0;0.0;0.0;-0.0;0.0
18.18;0.0;-0.0425;0.0;0.0;-0.0;0.0
18.282;0.0;-0.515;0.0;0.0;-0.0;0.0
18.388;0.0;-0.77125;0.0;0.0;-0.0;0.0
18.504;0.0;-1.275;0.0;0.0;-0.0;0.0
18.61;0.0;-2.04125;0.0;0.0;-0.0;0.0
18.712;0.0;-2.5475;0.0;0.0;-0.0;0.0
18.813;0.0;-3.05625;0.0;0.0;-0.0;0.0
18.914;0.0;-3.56625;0.0;0.0;-0.0;0.0
19.02;0.0;-4.06875;0.0;0.0;-0.0;0.0
19.131;0.0;-4.57875;0.0;0.0;-0.0;0.0
