Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
0.002;-0.0;0.0;0.0;0.0;-0.0;0.0
0.102;-0.0;0.0;0.0;0.0;-0.0;0.0
0.203;-0.0;0.0;0.0;0.0;-0.0;0.0
0.303;-0.0;0.0;0.0;0.0;-0.0;0.0
0.409;-0.0;0.0;0.0;0.0;-0.0;0.0
0.509;-0.0;0.0;0.0;0.0;-0.0;0.0
0.613;-0.0;0.0;0.0;0.0;-0.0;0.0
0.73;-0.0;0.0;0.0;0.0;-0.0;0.0
0.835;-0.0;0.0;0.0;0.0;-0.0;0.0
0.936;-0.0;0.0;0.0;0.0;-0.0;0.0
1.037;-0.0;0.0;0.0;0.0;-0.0;0.0
1.14;-0.0;0.0;0.0;0.0;-0.0;0.0
1.247;-0.0;0.0;0.0;0.0;-0.0;0.0
1.355;-0.0;0.0;0.0;0.0;-0.0;0.0
1.455;-0.0;0.0;0.0;0.0;-0.0;0.0
1.58;-0.0;0.0;0.0;0.0;-0.0;0.0
1.708;-0.0;0.0;0.0;0.0;-0.0;0.0
1.81;-0.0;0.0;0.0;0.0;-0.0;0.0
1.911;-0.0;0.0;0.0;0.0;-0.0;0.0
2.019;-0.0;0.0;0.0;0.0;-0.0;0.0
2.12;-0.0;0.0;0.0;0.0;-0.0;0.0
2.232;-0.0;0.0;0.0;0.0;-0.0;0.0
2.333;-0.0;0.0;0.0;0.0;-0.0;0.0
2.433;-0.0;0.0;0.0;0.0;-0.0;0.0
2.534;-0.0;0.0;0.0;0.0;-0.0;0.0
2.635;-0.0;0.0;0.0;0.0;-0.0;0.0
2.735;-0.0;0.0;0.0;0.0;-0.0;0.0
2.837;-0.0;0.0;0.0;0.0;-0.0;0.0
2.938;-0.0;0.0;0.0;0.0;-0.0;0.0
3.046;-0.0;0.0;0.0;0.0;-0.0;0.0
3.156;-0.0;0.0;0.0;0.0;-0.0;0.0
3.266;-0.0;0.0;0.0;0.0;-0.0;0.0
3.378;-0.0;0.0;0.0;0.0;-0.0;0.0
3.493;-0.0;0.0;0.0;0.0;-0.0;0.0
3.595;-0.0;0.0;0.0;0.0;-0.0;0.0
3.695;-0.0;0.0;0.0;0.0;-0.0;0.0
3.805;-0.0;0.0;0.0;0.0;-0.0;0.0
3.919;-0.0;0.0;0.0;0.0;-0.0;0.0
4.033;-0.0;0.0;0.0;0.0;-0.0;0.0
4.141;-0.0;0.0;0.0;0.0;-0.0;0.0
4.241;-0.0;0.0;0.0;0.0;-0.0;0.0
4.353;-0.0;0.0;0.0;0.0;-0.0;0.0
4.46;-0.0;0.0;0.0;0.0;-0.0;0.0
4.56;-0.0;0.0;0.0;0.0;-0.0;0.0
4.667;-0.0;0.0;0.0;0.0;-0.0;0.0
4.779;-0.0;0.0;0.0;0.0;-0.0;0.0
4.888;-0.0;0.0;0.0;0.0;-0.0;0.0
4.988;-0.0;0.0;0.0;0.0;-0.0;0.0
5.089;-0.0;0.0;0.0;0.0;-0.0;0.0
5.19;-0.0;0.0;0.0;0.0;-0.0;0.0
5.29;-0.0;0.0;0.0;0.0;-0.0;0.0
5.393;-0.0;0.0;0.0;0.0;-0.0;0.0
5.493;-0.0;0.0;0.0;0.0;-0.0;0.0
5.594;-0.0;0.0;0.0;0.0;-0.0;0.0
5.706;-0.0;0.0;0.0;0.0;-0.0;0.0
5.807;-0.0;0.0;0.0;0.0;-0.0;0.0
5.91;-0.0;0.0;0.0;0.0;-0.0;0.0
6.012;-0.0;0.0;0.0;0.0;-0.0;0.0
6.121;-0.0;0.0;0.0;0.0;-0.0;0.0
6.233;-0.0;0.0;0.0;0.0;-0.0;0.0
6.339;-0.0;0.0;0.0;0.0;-0.0;0.0
6.456;-0.0;0.0;0.0;0.0;-0.0;0.0
6.562;-0.0;0.0;0.0;0.0;-0.0;0.0
