Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;-0.0;0.1;-0.0;0.0;-0.0;-0.0
0.132;0.0;-0.0;-0.0;0.0;0.0;-0.0
0.278;0.0;0.0;-0.0;0.0;0.0;0.0
0.402;0.0;0.1;-0.0;0.0;0.0;0.0
0.502;-0.0;0.1;-0.0;0.0;0.0;-0.0
0.561;-0.0;0.1;-0.0;0.1;-0.0;0.0
0.694;-0.0;0.1;-0.0;0.1;-0.0;0.0
0.76;-0.0;0.0;-0.0;0.1;-0.0;0.0
0.859;-0.0;0.0;-0.1;0.0;0.0;-0.0
0.995;-0.1;0.0;-0.1;0.0;0.0;-0.0
1.061;-0.0;-0.0;-0.1;0.0;-0.0;0.0
1.159;-0.0;-0.0;-0.1;0.0;-0.0;0.0
1.258;-0.0;-0.0;-0.1;0.0;-0.1;0.0
1.357;-0.0;0.0;-0.1;0.0;-0.0;-0.0
1.49;-0.0;0.0;-0.1;0.0;-0.0;-0.0
1.59;0.0;-0.0;-0.0;0.0;-0.1;0.0
1.725;0.0;-0.0;-0.0;0.0;-0.0;0.0
1.792;0.0;-0.0;-0.0;0.0;-0.0;0.0
1.856;-0.0;0.0;-0.0;0.1;0.0;0.0
1.989;-0.0;-0.0;-0.1;0.0;-0.0;-0.0
2.121;-0.0;-0.1;-0.0;-0.0;0.0;-0.0
2.253;0.0;-0.1;-0.0;-0.0;0.0;0.0
2.352;0.0;-0.1;-0.0;-0.0;0.0;0.0
2.423;-0.0;-0.1;-0.1;0.1;0.0;-0.0
2.553;-0.0;-0.1;-0.1;0.0;-0.1;0.0
2.72;-0.0;-0.1;-0.1;0.0;-0.1;0.1
2.82;-0.0;-0.0;-0.0;0.0;0.0;-0.0
2.986;-0.1;-0.1;-0.1;0.0;0.0;-0.0
3.086;0.0;-0.0;-0.0;0.0;0.0;-0.0
3.182;0.0;-0.1;-0.1;0.0;0.0;-0.0
3.284;0.0;-0.0;-0.0;0.1;-0.0;0.0
3.384;0.0;-0.0;-0.0;0.1;-0.0;0.0
3.452;0.0;0.0;-0.0;0.0;0.0;0.0
3.519;-0.0;0.0;0.0;0.0;-0.1;0.0
3.616;-0.0;0.0;0.0;0.0;-0.0;0.0
3.717;-0.0;0.0;0.0;0.0;-0.0;0.0
3.785;-0.0;0.0;0.0;0.0;-0.0;0.0
3.849;-0.0;0.0;0.0;0.0;-0.0;0.0
3.884;-0.0;0.0;-0.0;0.0;-0.0;0.0
3.98;-0.0;0.0;-0.1;0.0;0.0;-0.0
4.082;-0.0;-0.0;-0.0;0.0;-0.1;0.0
4.182;-0.0;-0.1;-0.1;0.0;0.0;0.0
4.377;-0.1;0.0;-0.1;0.0;-0.1;0.1
4.544;-0.0;-0.0;-0.1;0.1;-0.0;0.0
4.642;-0.0;-0.0;-0.1;0.0;-0.0;-0.0
4.744;0.0;0.0;-0.0;0.0;-0.0;0.0
4.843;-0.0;-0.0;-0.0;0.0;-0.0;0.0
4.944;-0.0;-0.0;-0.0;0.1;-0.0;0.1
5.074;-0.0;-0.0;-0.0;0.0;-0.1;-0.0
5.244;0.0;-0.0;-0.0;0.0;-0.0;-0.0
5.307;-0.0;-0.0;-0.0;0.0;-0.0;0.0
5.405;0.0;-0.4;-0.1;0.0;-0.1;0.0
5.506;0.0;-1.0;-0.1;0.0;0.0;-0.1
5.672;-0.0;-1.8;-0.1;0.0;-0.0;-0.0
5.808;-0.0;-2.5;-0.1;-0.0;0.0;-0.0
5.903;0.0;-3.1;-0.1;-0.0;0.1;-0.0
6.036;-0.0;-3.6;-0.1;-0.0;-0.0;0.0
6.202;0.0;-4.5;-0.1;-0.0;-0.0;0.0
6.301;0.0;-4.8;0.0;-0.0;-0.0;0.0
6.404;0.1;-4.8;-0.0;0.0;-0.0;0.0
6.5;0.0;-4.9;-0.0;0.0;-0.0;-0.0
6.637;0.1;-5.0;-0.1;0.0;0.0;-0.0
6.699;0.1;-5.0;-0.1;0.0;-0.0;-0.0
6.836;0.1;-5.0;-0.1;0.0;-0.0;-0.0
6.931;0.1;-5.1;-0.1;-0.1;-0.0;0.0
7.101;0.1;-5.1;-0.1;-0.0;-0.1;0.0
7.198;0.1;-5.1;-0.2;0.0;-0.0;-0.0
7.366;0.1;-4.9;-0.1;0.0;-0.1;0.0
7.461;0.1;-4.9;-0.1;0.0;-0.0;-0.0
7.532;0.1;-4.9;-0.1;-0.0;-0.0;0.0
7.595;0.1;-5.0;-0.1;-0.0;-0.0;-0.0
7.693;0.1;-5.0;-0.1;0.0;-0.0;-0.0
7.827;0.1;-5.0;-0.1;0.0;-0.0;-0.0
7.861;0.1;-5.0;-0.2;0.0;-0.0;-0.0
7.96;0.1;-5.0;-0.1;-0.0;-0.0;-0.0
8.094;0.1;-5.0;-0.1;0.0;-0.0;0.0
8.226;0.1;-5.0;-0.1;0.0;-0.0;0.0
8.292;0.1;-5.0;-0.1;0.0;-0.1;0.0
8.391;0.1;-4.9;-0.1;0.0;-0.1;0.0
8.491;0.1;-4.9;-0.0;0.0;0.0;-0.0
8.623;0.1;-4.4;-0.0;0.1;0.0;0.0
8.723;0.0;-3.8;-0.1;0.1;0.0;0.0
8.822;-0.1;-3.4;-0.0;0.0;0.0;0.0
8.957;-0.0;-2.6;0.0;0.0;0.0;-0.0
9.088;0.0;-2.1;-0.0;0.0;0.0;-0.0
9.224;0.0;-1.3;0.0;0.0;-0.0;0.0
9.324;-0.0;-0.8;-0.0;0.0;-0.0;0.0
9.457;0.0;-0.2;-0.0;0.1;0.0;0.0
9.587;0.0;0.0;0.0;0.1;0.0;-0.0
9.689;0.0;-0.0;-0.0;0.0;-0.0;-0.0
9.754;-0.0;-0.1;-0.1;0.1;-0.0;-0.0
9.885;0.0;0.0;-0.1;0.1;0.0;-0.0
9.954;0.1;-0.0;-0.1;0.0;0.1;-0.0
10.084;0.1;0.0;-0.1;0.1;0.0;-0.0
10.186;-0.0;0.0;-0.1;0.0;0.0;-0.0
10.316;-0.0;-0.0;-0.1;0.0;-0.0;0.0
10.453;-0.0;0.0;-0.0;0.0;-0.0;0.0
10.518;-0.0;0.0;-0.0;0.0;-0.0;0.0
10.583;0.0;0.0;-0.0;0.0;-0.0;-0.0
10.714;0.1;-0.0;-0.1;-0.0;0.1;-0.1
10.815;-0.0;-0.0;-0.1;0.0;-0.0;-0.0
10.946;-0.0;0.0;-0.1;0.0;-0.0;-0.0
11.013;-0.0;0.0;-0.1;0.0;-0.0;-0.0
11.079;-0.0;-0.0;-0.1;0.0;-0.0;0.0
11.213;-0.0;-0.0;-0.1;0.0;-0.0;0.0
11.279;-0.0;-0.0;-0.0;0.0;0.0;-0.0
11.41;-0.0;-0.0;-0.0;-0.0;-0.1;0.0
11.547;0.0;0.0;-0.1;0.0;0.0;-0.0
11.678;-0.0;-0.1;-0.1;0.0;0.0;-0.0
11.747;0.0;-0.2;-0.1;0.0;-0.0;-0.0
11.846;0.0;-0.7;-0.2;-0.0;-0.0;-0.0
11.977;-0.0;-1.3;-0.1;0.0;-0.0;0.0
12.107;0.0;-2.0;-0.1;-0.0;0.0;0.0
12.241;-0.0;-2.7;-0.0;-0.0;-0.1;0.0
12.372;0.0;-3.4;-0.1;-0.0;0.1;-0.1
12.538;0.0;-4.2;-0.1;-0.0;-0.0;0.0
12.707;0.1;-5.1;-0.1;-0.0;-0.0;0.0
12.84;0.0;-6.0;-0.1;0.0;-0.0;0.0
12.972;0.0;-6.4;0.0;0.0;0.0;0.0
13.069;0.1;-7.0;-0.0;0.1;-0.0;0.0
13.203;0.1;-7.7;-0.1;0.1;-0.0;0.0
13.337;0.0;-8.2;0.0;0.0;-0.0;0.0
13.468;0.0;-8.8;-0.0;-0.0;-0.1;0.0
13.57;0.1;-9.4;-0.0;0.0;-0.0;0.0
13.667;0.1;-9.8;-0.0;0.0;-0.0;0.1
13.766;0.1;-10.0;-0.1;0.0;-0.0;-0.0
13.899;0.1;-10.0;-0.1;-0.0;-0.1;0.0
13.998;0.1;-10.1;-0.1;0.0;-0.1;0.0
14.099;0.1;-10.1;-0.1;0.0;-0.1;0.0
14.165;0.0;-10.1;-0.1;0.0;-0.1;0.0
14.265;0.1;-10.0;-0.0;-0.0;-0.0;0.0
14.363;0.1;-10.0;-0.1;0.0;-0.0;0.0
14.464;0.1;-10.0;-0.0;0.0;-0.0;0.0
14.533;0.1;-10.0;-0.0;0.0;-0.0;0.0
14.598;0.1;-10.0;-0.0;0.0;-0.0;0.0
14.727;0.1;-10.0;-0.0;0.0;-0.0;0.0
14.797;0.1;-10.0;-0.0;-0.0;-0.0;0.1
14.893;0.1;-10.0;-0.0;-0.0;-0.0;0.1
14.96;0.1;-9.9;0.0;-0.0;-0.0;0.0
15.094;0.1;-10.0;0.0;-0.0;-0.0;0.0
15.192;0.1;-10.0;-0.0;0.0;0.0;0.0
15.291;0.1;-10.0;-0.0;0.0;-0.0;0.0
15.361;0.1;-10.0;-0.0;0.0;-0.0;0.0
15.458;0.1;-10.0;-0.0;0.0;-0.0;0.0
15.557;0.1;-10.0;-0.0;0.0;-0.0;0.0
15.624;0.1;-10.0;-0.0;0.0;-0.0;0.0
15.66;0.1;-10.0;-0.1;0.0;-0.0;0.0
15.789;0.1;-10.0;-0.0;0.0;-0.0;0.0
15.857;0.1;-9.9;-0.1;0.0;0.0;0.0
15.959;0.1;-9.7;-0.0;0.0;-0.0;0.1
16.088;0.1;-9.0;-0.0;0.0;-0.0;0.0
16.224;0.1;-8.4;-0.1;0.1;-0.1;0.1
16.32;0.1;-7.9;-0.0;0.0;0.1;0.0
16.487;0.1;-7.0;0.0;0.0;-0.0;0.1
16.623;0.0;-6.5;-0.0;0.1;-0.0;0.0
16.788;0.1;-5.6;-0.0;0.0;-0.0;-0.0
16.922;0.0;-4.7;-0.1;0.0;-0.0;0.0
17.051;0.1;-4.0;-0.1;0.0;0.0;0.0
17.218;0.1;-3.4;-0.1;0.1;-0.0;-0.0
