Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
6.762;-0.0;0.0;0.0;0.0;-0.0;0.0
6.864;-0.0;0.0;0.0;0.0;-0.0;0.0
6.971;-0.0;0.0;0.0;0.0;-0.0;0.0
7.086;-0.0;0.0;0.0;0.0;-0.0;0.0
7.198;-0.0;0.0;0.0;0.0;-0.0;0.0
7.302;-0.0;0.0;0.0;0.0;-0.0;0.0
7.409;-0.0;0.0;0.0;0.0;-0.0;0.0
7.511;-0.0;0.0;0.0;0.0;-0.0;0.0
7.617;-0.0;0.0;0.0;0.0;-0.0;0.0
7.719;-0.0;0.0;0.0;0.0;-0.0;0.0
7.82;-0.0;0.0;0.0;0.0;-0.0;0.0
7.92;-0.0;0.0;0.0;0.0;-0.0;0.0
8.02;-0.0;0.0;0.0;0.0;-0.0;0.0
8.122;-0.0;0.0;0.0;0.0;-0.0;0.0
8.224;-0.0;0.0;0.0;0.0;-0.0;0.0
8.331;-0.0;0.0;0.0;0.0;-0.0;0.0
8.436;-0.0;0.0;0.0;0.0;-0.0;0.0
8.536;-0.0;0.0;0.0;0.0;-0.0;0.0
8.638;-0.0;0.0;0.0;0.0;-0.0;0.0
8.741;-0.0;0.0;0.0;0.0;-0.0;0.0
8.842;-0.0;0.0;0.0;0.0;-0.0;0.0
8.942;-0.0;0.0;0.0;0.0;-0.0;0.0
9.044;-0.0;0.0;0.0;0.0;-0.0;0.0
9.151;-0.0;0.0;0.0;0.0;-0.0;0.0
9.257;-0.0;0.0;0.0;0.0;-0.0;0.0
9.36;-0.0;0.0;0.0;0.0;-0.0;0.0
9.46;-0.0;0.0;0.0;0.0;-0.0;0.0
9.565;-0.0;0.0;0.0;0.0;-0.0;0.0
9.666;-0.0;0.0;0.0;0.0;-0.0;0.0
9.77;-0.0;0.0;0.0;0.0;-0.0;0.0
9.872;-0.0;0.0;0.0;0.0;-0.0;0.0
9.973;-0.0;0.0;0.0;0.0;-0.0;0.0
10.078;-0.0;0.0;0.0;0.0;-0.0;0.0
10.179;-0.0;0.0;0.0;0.0;-0.0;0.0
10.286;-0.0;0.0;0.0;0.0;-0.0;0.0
10.4;-0.0;0.0;0.0;0.0;-0.0;0.0
10.512;-0.0;0.0;0.0;0.0;-0.0;0.0
10.619;-0.0;0.0;0.0;0.0;-0.0;0.0
10.72;0.0;-0.35375;0.0;0.0;-0.0;0.0
10.822;0.0;-0.86;0.0;0.0;-0.0;0.0
10.923;0.0;-1.36875;0.0;0.0;-0.0;0.0
11.024;0.0;-1.88;0.0;0.0;-0.0;0.0
11.137;0.0;-2.135;0.0;0.0;-0.0;0.0
11.247;0.0;-2.895;0.0;0.0;-0.0;0.0
11.358;0.0;-3.405;0.0;0.0;-0.0;0.0
11.464;0.0;-3.91375;0.0;0.0;-0.0;0.0
11.576;0.0;-4.4225;0.0;0.0;-0.0;0.0
11.689;0.0;-5.0;0.0;0.0;-0.0;0.0
11.799;0.0;-5.0;0.0;0.0;-0.0;0.0
11.901;0.0;-5.0;0.0;0.0;-0.0;0.0
12.004;0.0;-5.0;0.0;0.0;-0.0;0.0
12.117;0.0;-5.0;0.0;0.0;-0.0;0.0
12.225;0.0;-5.0;0.0;0.0;-0.0;0.0
12.337;0.0;-5.0;0.0;0.0;-0.0;0.0
12.451;0.0;-5.0;0.0;0.0;-0.0;0.0
12.56;0.0;-5.0;0.0;0.0;-0.0;0.0
12.674;0.0;-5.0;0.0;0.0;-0.0;0.0
12.78;0.0;-5.0;0.0;0.0;-0.0;0.0
12.89;0.0;-5.0;0.0;0.0;-0.0;0.0
13.003;0.0;-5.0;0.0;0.0;-0.0;0.0
13.105;0.0;-5.0;0.0;0.0;-0.0;0.0
13.211;0.0;-5.0;0.0;0.0;-0.0;0.0
13.322;0.0;-5.0;0.0;0.0;-0.0;0.0
13.43;0.0;-5.0;0.0;0.0;-0.0;0.0
13.542;0.0;-5.0;0.0;0.0;-0.0;0.0
13.651;0.0;-5.0;0.0;0.0;-0.0;0.0
13.763;0.0;-5.0;0.0;0.0;-0.0;0.0
13.875;0.0;-5.0;0.0;0.0;-0.0;0.0
13.985;0.0;-4.9675;0.0;0.0;-0.0;0.0
14.094;0.0;-4.25625;0.0;0.0;-0.0;0.0
14.206;0.0;-3.74875;0.0;0.0;-0.0;0.0
14.32;0.0;-3.245;0.0;0.0;-0.0;0.0
14.426;0.0;-2.73625;0.0;0.0;-0.0;0.0
14.542;0.0;-2.2275;0.0;0.0;-0.0;0.0
14.644;0.0;-1.47125;0.0;0.0;-0.0;0.0
14.744;0.0;-0.96375;0.0;0.0;-0.0;0.0
14.851;0.0;-0.45625;0.0;0.0;-0.0;0.0
14.954;0.0;-0.02;0.0;0.0;-0.0;0.0
