Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;0.1;-0.1;-0.1;0.1;0.0;-0.0
0.104;-0.0;-0.0;-0.1;0.1;0.0;-0.0
0.199;-0.0;-0.0;-0.1;0.1;0.0;-0.0
0.262;0.0;-0.1;-0.1;0.1;-0.0;-0.0
0.413;0.0;-0.0;-0.1;0.1;-0.0;0.0
0.494;0.1;-0.0;-0.0;0.1;0.0;-0.0
0.625;0.0;-0.0;-0.1;0.1;0.0;-0.0
0.763;0.0;-0.0;-0.1;0.1;0.0;-0.0
0.795;-0.0;-0.0;-0.1;0.1;-0.0;-0.0
0.861;0.0;-0.1;-0.1;0.0;0.0;-0.0
0.993;0.0;-0.1;-0.1;0.1;-0.0;-0.0
1.126;0.0;-0.1;-0.1;0.1;0.0;-0.0
1.259;-0.0;-0.1;-0.1;0.0;0.0;-0.0
1.357;-0.0;-0.1;-0.0;0.0;-0.0;0.0
1.455;0.0;0.0;-0.0;0.1;0.0;-0.0
1.592;0.0;-0.0;-0.0;0.1;0.0;-0.0
1.657;-0.0;-0.1;-0.1;0.1;-0.1;0.0
1.791;-0.0;0.0;-0.0;0.0;-0.1;0.0
1.886;0.0;0.1;0.0;0.0;0.0;-0.0
2.023;0.0;0.0;-0.0;0.1;-0.1;-0.0
2.185;0.0;-0.0;-0.0;0.1;-0.1;-0.0
2.255;0.0;-0.0;-0.0;0.1;-0.1;-0.0
2.351;0.0;-0.0;-0.1;0.1;-0.1;-0.0
2.42;-0.0;-0.0;-0.0;0.1;-0.1;0.0
2.516;-0.0;0.0;0.0;0.1;-0.1;0.0
2.653;0.0;0.0;0.0;0.1;-0.1;0.0
2.718;0.0;-0.0;-0.0;0.0;-0.0;0.0
2.852;0.1;-0.0;-0.0;0.1;-0.0;-0.0
2.983;0.1;-0.1;-0.1;0.1;0.0;-0.0
3.08;0.0;-0.1;-0.2;0.0;0.0;-0.0
3.146;0.0;-0.0;-0.1;0.1;-0.0;0.0
3.25;-0.0;-0.1;-0.1;0.1;-0.0;0.0
3.317;0.0;-0.1;-0.1;0.1;0.0;0.0
3.416;-0.0;0.0;0.0;0.1;-0.0;0.0
3.483;-0.0;0.1;0.0;0.1;-0.0;0.0
3.582;-0.0;0.0;0.0;0.1;0.0;0.0
3.649;0.0;0.0;0.0;0.1;-0.0;0.0
3.747;-0.0;0.1;0.0;0.1;-0.0;0.0
3.815;-0.0;0.1;0.0;0.1;-0.0;0.0
3.882;-0.0;0.1;0.0;0.1;-0.0;0.0
4.047;-0.0;-0.0;-0.1;0.1;-0.0;0.0
4.143;0.1;-0.1;-0.1;0.1;0.0;-0.0
4.241;0.0;0.0;-0.1;0.1;-0.0;0.0
4.377;0.0;-0.0;-0.1;0.1;-0.0;0.0
4.474;-0.0;-0.1;-0.1;0.1;-0.1;0.0
4.573;-0.0;-0.1;-0.1;0.1;-0.1;0.0
4.644;0.0;-0.1;-0.1;0.1;-0.0;0.0
4.74;0.0;-0.1;-0.1;0.1;-0.0;0.0
4.839;0.0;-0.1;-0.1;0.1;-0.0;-0.0
4.941;0.0;-0.1;-0.1;0.1;-0.0;-0.0
5.04;0.0;-0.1;-0.1;0.1;-0.0;0.0
5.137;0.0;-0.0;-0.0;0.0;-0.0;0.0
5.237;0.0;-0.1;-0.0;0.0;-0.0;-0.0
5.339;0.0;0.0;0.0;0.0;-0.0;-0.0
5.403;0.0;0.0;0.0;0.0;-0.0;-0.0
5.47;0.0;-0.0;-0.1;0.1;-0.1;0.0
5.603;0.0;-0.0;-0.1;0.1;-0.1;0.0
5.671;0.1;0.0;-0.1;0.1;-0.0;-0.0
5.804;0.1;-0.0;-0.1;0.1;-0.0;-0.0
5.901;-0.0;-0.5;-0.1;0.0;-0.1;-0.0
6.036;-0.0;-0.9;-0.1;0.1;-0.1;0.0
6.2;0.1;-2.1;-0.0;0.1;-0.0;-0.0
6.367;0.0;-2.8;-0.1;0.1;-0.1;-0.1
6.532;0.1;-3.6;-0.0;0.0;0.0;-0.1
6.667;0.1;-4.3;-0.1;0.1;-0.1;0.0
6.798;0.2;-4.9;-0.1;0.1;0.0;-0.1
6.966;0.1;-5.0;-0.2;0.0;-0.0;-0.1
7.094;0.1;-4.9;-0.1;0.0;-0.0;-0.0
7.23;0.1;-4.9;-0.0;0.1;-0.0;-0.0
7.363;0.1;-4.9;-0.0;0.1;-0.0;-0.0
7.398;0.1;-4.9;-0.0;0.0;-0.1;-0.0
7.493;0.1;-4.9;0.0;0.0;-0.1;0.0
7.629;0.1;-4.9;-0.0;0.0;-0.1;0.0
7.728;0.2;-5.0;-0.1;0.0;0.0;-0.1
7.893;0.1;-4.9;-0.1;0.0;-0.0;0.0
8.063;0.1;-5.0;-0.1;0.1;0.0;-0.0
8.159;0.1;-5.0;-0.1;0.1;-0.1;0.0
8.26;0.1;-4.9;-0.0;0.1;0.0;-0.1
8.426;0.0;-4.9;-0.0;0.1;-0.1;0.0
8.559;0.1;-4.9;-0.1;0.1;-0.1;0.0
8.656;0.1;-4.9;-0.1;0.1;-0.1;0.0
8.691;0.1;-4.9;-0.1;0.1;-0.1;0.0
8.756;0.1;-4.9;-0.1;0.0;-0.1;0.0
8.82;0.1;-5.0;-0.1;0.1;-0.0;-0.0
8.955;0.1;-5.0;-0.1;0.1;-0.0;-0.0
9.028;0.1;-5.0;-0.1;0.1;-0.0;-0.0
9.089;0.1;-4.6;-0.0;0.1;-0.0;0.0
9.255;0.1;-3.8;-0.1;0.1;0.0;-0.0
9.354;0.1;-3.5;0.1;0.1;0.0;-0.1
9.522;0.0;-2.7;0.0;0.1;-0.1;-0.0
9.651;0.1;-2.0;0.0;0.1;-0.0;-0.0
9.783;0.1;-1.3;-0.1;0.1;-0.1;-0.0
9.917;0.0;-0.7;-0.1;0.0;-0.1;-0.0
10.014;0.0;-0.2;-0.1;0.1;-0.0;0.0
10.149;0.0;-0.1;-0.1;0.1;-0.0;0.0
10.25;0.0;-0.1;-0.1;0.1;-0.0;0.0
10.347;0.0;-0.1;-0.0;0.1;-0.0;-0.0
10.447;0.0;-0.1;-0.2;0.1;0.0;-0.1
10.549;0.1;-0.0;-0.1;0.0;0.0;-0.0
10.678;0.0;0.0;0.0;0.0;-0.0;0.0
10.813;0.1;-0.1;-0.1;0.1;0.0;-0.0
10.948;0.0;0.0;-0.1;0.1;-0.0;-0.0
11.077;0.0;0.1;0.0;0.1;-0.0;-0.0
11.179;0.1;0.1;0.1;0.1;-0.0;0.0
11.277;0.0;0.0;0.0;0.1;-0.0;0.0
11.374;0.1;0.1;0.0;0.1;0.0;-0.0
11.51;0.1;0.1;0.0;0.1;0.0;-0.0
11.607;0.1;0.1;-0.0;0.1;0.0;-0.0
11.676;0.0;0.0;0.0;0.1;-0.0;-0.0
11.775;0.0;0.1;0.0;0.0;-0.0;0.0
11.906;-0.0;0.1;0.0;0.1;-0.0;-0.0
12.006;0.0;-0.1;-0.1;0.0;-0.0;-0.0
12.137;0.1;-0.1;-0.1;0.1;-0.0;-0.0
12.271;-0.0;-0.1;-0.0;0.1;-0.1;-0.0
12.403;-0.0;-0.0;-0.0;0.1;-0.8;0.0
12.606;-0.0;0.0;0.0;0.1;-1.6;0.0
12.871;0.0;-0.1;-0.1;0.1;-2.8;-0.1
13.138;0.0;-0.0;-0.1;0.2;-4.2;-0.1
13.434;-0.1;-0.1;-0.0;0.1;-4.8;-0.1
13.631;-0.1;-0.1;-0.1;0.1;-4.9;-0.1
13.731;-0.0;-0.2;-0.1;0.1;-4.8;-0.1
13.865;-0.0;-0.2;-0.1;0.1;-4.8;-0.1
14.065;-0.0;-0.1;-0.0;0.1;-4.9;-0.0
14.162;0.0;-0.1;-0.0;0.1;-4.9;-0.0
14.296;0.0;-0.1;-0.1;0.1;-4.9;-0.1
14.428;-0.0;-0.1;-0.1;0.1;-4.9;-0.1
14.559;-0.1;-0.1;0.0;0.1;-4.9;-0.0
14.627;-0.0;-0.1;-0.0;0.1;-4.9;-0.0
14.725;-0.0;-0.1;-0.0;0.1;-4.9;-0.1
14.825;-0.0;-0.1;0.0;0.1;-4.9;-0.0
14.925;-0.0;-0.1;-0.0;0.1;-4.9;-0.1
14.994;-0.0;-0.1;-0.0;0.1;-4.9;-0.1
15.057;-0.0;-0.1;-0.0;0.1;-4.8;-0.1
15.189;-0.0;-0.1;-0.0;0.1;-4.8;-0.1
15.29;-0.0;-0.2;-0.1;0.1;-4.9;-0.0
15.455;-0.0;-0.2;-0.1;0.1;-4.9;-0.0
15.556;-0.0;-0.2;-0.1;0.1;-4.8;-0.0
15.657;-0.0;-0.1;0.0;0.1;-4.3;-0.0
15.821;-0.0;-0.1;-0.0;0.1;-3.6;0.0
16.089;-0.0;-0.0;-0.0;0.1;-2.2;-0.1
16.354;0.0;0.0;-0.0;0.1;-1.0;0.0
16.617;0.1;0.0;-0.0;0.1;0.2;-0.0
16.885;0.0;-0.1;-0.2;0.0;1.6;0.0
17.216;0.0;0.0;-0.0;0.0;3.4;0.1
17.548;0.1;0.0;-0.1;0.0;4.7;-0.0
17.88;0.1;-0.1;-0.2;0.1;4.8;-0.0
18.01;0.1;-0.1;-0.1;0.0;4.8;-0.0
18.142;0.1;0.1;-0.0;0.0;4.7;0.0
18.241;0.1;0.1;-0.0;0.1;4.8;-0.0
18.409;0.1;-0.0;-0.1;0.1;4.8;-0.0
18.51;0.1;0.0;-0.1;0.1;4.8;-0.0
18.576;0.1;0.0;-0.1;0.1;4.7;0.0
18.673;0.1;-0.0;-0.2;0.1;4.7;-0.0
18.809;0.1;0.0;-0.1;0.1;4.7;0.0
18.875;0.1;0.0;-0.0;0.1;4.7;0.0
18.973;0.1;0.1;-0.0;0.0;4.8;-0.0
19.138;0.1;0.0;-0.1;0.1;4.7;0.0
19.237;0.1;0.0;-0.1;0.1;4.7;0.0
19.336;0.1;-0.1;-0.2;0.1;4.7;-0.0
19.437;0.1;-0.0;-0.2;0.1;4.8;0.0
19.536;0.1;-0.1;-0.1;0.1;4.8;-0.1
19.704;0.1;0.0;-0.1;0.1;4.8;-0.0
19.836;0.1;-0.0;-0.0;0.1;4.5;-0.0
19.971;0.1;-0.1;-0.1;0.0;3.9;-0.0
20.235;0.1;0.1;-0.0;0.1;2.7;-0.0
20.498;0.1;-0.1;-0.1;0.2;1.4;-0.0
20.764;-0.0;-0.1;-0.1;0.1;0.1;-0.0
21.099;-0.0;-0.0;-0.1;0.1;-0.1;0.0
21.264;-0.0;-0.0;-0.0;0.1;-0.1;0.0
21.428;-0.0;-0.0;-0.0;0.1;-0.1;0.0
21.495;0.0;0.0;-0.0;0.1;-0.1;0.0
21.593;0.0;0.0;-0.0;0.1;-0.1;0.0
