Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;-0.0;-0.0;0.0;-0.0;-0.0;0.0
0.067;0.0;0.0;0.0;-0.0;0.0;-0.0
0.199;0.1;-0.0;-0.0;-0.0;0.1;-0.1
0.427;0.1;-0.1;-0.1;0.0;0.1;-0.1
0.496;0.0;-0.0;0.0;-0.0;0.1;-0.1
0.596;0.0;0.0;0.0;-0.0;0.1;-0.1
0.726;0.0;-0.0;-0.0;-0.0;0.0;-0.0
0.891;0.0;0.0;0.0;-0.0;0.0;-0.0
1.024;0.0;0.0;0.0;-0.0;0.0;-0.0
1.061;0.0;0.0;0.0;-0.0;0.0;-0.0
1.09;0.0;0.0;0.0;-0.0;0.0;-0.0
1.191;0.0;0.0;-0.0;-0.0;0.0;-0.0
1.289;-0.0;-0.0;-0.0;-0.0;0.0;-0.0
1.424;0.1;-0.1;-0.0;0.0;0.1;-0.0
1.525;0.0;-0.0;0.0;-0.1;0.0;-0.0
1.657;-0.0;0.0;0.0;-0.0;0.0;-0.0
1.721;-0.0;0.0;0.0;0.0;0.0;-0.0
1.856;0.0;-0.0;-0.0;0.0;0.0;0.0
1.954;0.0;-0.0;0.0;-0.0;0.0;-0.1
2.122;0.0;-0.0;-0.0;0.0;0.0;-0.0
2.253;0.0;-0.1;-0.1;0.0;0.0;-0.1
2.353;-0.0;-0.0;0.0;-0.0;0.0;-0.0
2.456;0.1;-0.0;0.0;-0.0;0.1;-0.0
2.585;0.1;-0.0;0.0;-0.0;0.0;-0.0
2.685;0.0;0.0;0.0;-0.0;0.1;-0.1
2.819;0.0;0.0;0.0;-0.0;0.1;-0.1
2.852;0.0;0.1;0.0;-0.0;0.0;-0.1
2.982;0.0;0.0;0.0;-0.0;0.0;-0.1
3.082;0.0;0.0;0.0;-0.0;0.0;-0.1
3.215;0.0;0.0;0.0;-0.0;0.0;-0.1
3.283;0.0;0.0;0.0;-0.0;0.0;-0.1
3.351;0.0;0.0;-0.0;-0.0;0.1;-0.1
3.451;0.0;0.0;-0.0;-0.0;0.1;-0.1
3.481;-0.0;0.0;-0.0;0.0;0.0;-0.1
3.583;0.0;0.0;-0.0;0.0;0.0;-0.1
3.68;0.0;0.1;-0.0;0.0;0.0;-0.0
3.749;0.0;0.0;-0.0;0.0;0.0;-0.0
3.815;-0.0;0.0;-0.0;0.0;0.0;-0.0
