Messpunkt_ID,Achse,Achsenposition,Calc_Lat (X),Calc_Long (Y),Calc_Vert (Z),ET_Meas_Lat (X),ET_Meas_Long (Y),ET_Meas_Vert (Z),Diff_Lat (X),Diff_Long (Y),Diff_Vert (Z)
1,Longitudinal,0,0.0,0.0,-0.0,0.2,-0.3,0.2,-0.2,0.3,-0.2
2,Longitudinal,10,0.0,10.0,-0.0,0.3,-10.3,0.2,-0.3,20.3,-0.2
3,Longitudinal,0,0.0,0.0,-0.0,0.2,-0.3,0.2,-0.2,0.3,-0.2
4,Vertikal,0,0.0,0.0,-0.0,0.2,-0.3,0.2,-0.2,0.3,-0.2
5,Vertikal,10,0.0,-14.49,0.401,0.7,-14.3,-0.2,-0.7,-0.19,0.601
6,Vertikal,-10,0.0,14.84,0.391,-0.4,14.1,-0.3,0.4,0.74,0.691
7,Vertikal,0,0.0,0.0,-0.0,0.2,-0.3,0.2,-0.2,0.3,-0.2
8,Rotation,0,0.0,0.0,-0.0,0.1,-0.3,0.2,-0.1,0.3,-0.2
9,Rotation,0,0.0,0.0,-0.0,0.2,-0.3,0.2,-0.2,0.3,-0.2
10,Rotation,5,0.0,0.0,-0.0,0.1,-0.4,0.2,-0.1,0.4,-0.2
11,Rotation,-5,0.0,0.0,-0.0,0.2,-0.2,0.2,-0.2,0.2,-0.2
12,Rotation,0,0.0,0.0,-0.0,0.2,-0.3,0.2,-0.2,0.3,-0.2
13,Rotation,30,0.0,0.0,-0.0,-0.2,-0.7,0.2,0.2,0.7,-0.2
14,Rotation,-30,0.0,0.0,-0.0,0.6,-0.1,0.2,-0.6,0.1,-0.2
15,Rotation,45,0.0,0.0,-0.0,-0.3,-1.1,0.2,0.3,1.1,-0.2
16,Rotation,90,0.0,0.0,-0.0,-0.1,-1.8,0.2,0.1,1.8,-0.2
17,Rotation,60,0.0,0.0,-0.0,-0.3,-1.4,0.2,0.3,1.4,-0.2
