Point_ID,Axis,H_mm,V_mm,R_deg,Model_X_mm,Model_X_sd,Model_Y_mm,Model_Y_sd,Model_Z_mm,Model_Z_sd,ExacTrac_X_mm,ExacTrac_X_sd,ExacTrac_Y_mm,ExacTrac_Y_sd,ExacTrac_Z_mm,ExacTrac_Z_sd,Discrepancy_X_mm,Discrepancy_X_sd,Discrepancy_Y_mm,Discrepancy_Y_sd,Discrepancy_Z_mm,Discrepancy_Z_sd,Discrepancy_3D_mm,In_AllAxes_Range
1,Longitudinal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
2,Longitudinal,10.0,0.0,0.0,0.0,0.087,-10.0,0.006,-0.0,0.0,0.1,0.071,-10.0,0.071,0.0,0.071,-0.1,0.112,0.0,0.071,-0.0,0.071,0.1,True
3,Longitudinal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
4,Vertical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
5,Vertical,0.0,10.0,0.0,0.0,0.122,-14.012,0.083,-0.427,0.004,0.5,0.071,-14.0,0.071,-0.4,0.071,-0.5,0.141,-0.012,0.109,-0.027,0.071,0.501,True
6,Vertical,0.0,-10.0,0.0,0.0,0.125,14.359,0.083,-0.417,0.004,-0.6,0.071,14.4,0.071,-0.5,0.071,0.6,0.144,-0.041,0.109,0.083,0.071,0.607,True
7,Vertical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
8,Rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
9,Rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
10,Rotation,0.0,0.0,4.95,0.0,0.0,0.0,0.006,0.0,0.0,-0.1,0.071,-0.1,0.071,0.0,0.071,0.1,0.071,0.1,0.071,0.0,0.071,0.141,True
11,Rotation,0.0,0.0,-4.95,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.071,0.1,0.071,0.0,0.071,0.0,0.071,-0.1,0.071,0.0,0.071,0.1,True
12,Rotation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
13,Rotation,0.0,0.0,29.96,0.0,0.0,0.0,0.006,0.0,0.0,-0.4,0.071,-0.4,0.071,0.0,0.071,0.4,0.071,0.4,0.071,0.0,0.071,0.566,False
14,Rotation,0.0,0.0,-29.96,0.0,0.0,0.0,0.006,0.0,0.0,0.4,0.071,0.2,0.071,0.0,0.071,-0.4,0.071,-0.2,0.071,0.0,0.071,0.447,False
15,Rotation,0.0,0.0,45.0,0.0,0.0,0.0,0.006,0.0,0.0,-0.5,0.071,-0.8,0.071,0.0,0.071,0.5,0.071,0.8,0.071,0.0,0.071,0.943,False
16,Rotation,0.0,0.0,90.0,0.0,0.0,0.0,0.006,0.0,0.0,-0.3,0.071,-1.5,0.071,0.0,0.071,0.3,0.071,1.5,0.071,0.0,0.071,1.53,False
17,Rotation,0.0,0.0,59.98,0.0,0.0,0.0,0.006,0.0,0.0,-0.5,0.071,-1.1,0.071,0.0,0.071,0.5,0.071,1.1,0.071,0.0,0.071,1.208,False
